,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01008426,266,266,-,-,266,264,-,2,8,114,137,7,-,-,-
S01008427,399,399,-,-,399,397,-,2,99,233,60,7,-,-,-
S01008428,318,318,-,-,318,316,-,2,52,116,71,78,-,1,-
S01008429,355,355,-,-,355,352,-,3,133,176,35,7,2,2,-
S01008430,282,282,-,-,282,276,-,6,104,89,50,37,1,1,-
S01008431,356,356,-,-,356,352,-,4,121,186,3,46,-,-,-
S01008432,299,299,-,-,299,293,-,6,135,124,13,20,7,-,-
S01008433,349,349,-,-,349,348,-,1,51,212,62,23,1,-,-
S01008434,326,326,-,-,326,322,-,4,73,210,28,15,-,-,-
S01008435,302,302,-,-,302,301,-,1,105,175,18,4,-,-,-
S01008436,360,360,-,-,360,356,1,3,109,114,32,97,7,1,-
S01008437,383,383,-,-,383,367,2,14,76,52,65,161,20,9,-
S01008438,200,200,-,-,200,189,5,6,73,41,40,43,3,-,-
S01008439,440,440,-,-,440,434,5,1,247,81,64,45,2,1,-
S01008440,415,415,-,-,415,403,3,9,260,69,35,36,15,-,-
S01008441,188,188,-,-,188,186,-,2,90,64,30,4,-,-,-
S01008442,314,314,-,-,314,303,2,9,77,63,41,118,11,4,-
S01008443,254,254,-,-,254,252,1,1,170,34,12,32,6,-,-
S01008444,269,269,-,-,269,260,-,9,80,77,47,61,4,-,-
S01008445,422,422,-,-,422,403,-,19,56,146,24,170,26,-,-
S01008446,334,334,-,-,334,323,1,10,149,151,8,24,2,-,-
S01008447,291,291,-,-,291,286,1,4,128,95,15,49,4,-,-
S01008448,319,319,-,-,319,315,4,-,202,57,7,51,2,-,-
S01008449,357,357,-,-,357,351,2,4,11,56,51,236,3,-,-
S01008450,257,257,-,-,257,256,-,1,5,22,3,225,1,-,1
S01008451,335,335,-,-,335,325,-,10,6,21,20,286,2,-,-
S01008452,272,272,-,-,272,271,-,1,2,10,7,249,4,-,-
S01008453,215,213,2,-,217,215,-,2,3,6,13,194,1,-,-
S01008454,400,400,-,-,400,393,-,7,14,82,103,199,2,-,-
S01008455,503,503,-,-,503,501,-,2,2,4,6,488,2,1,-
S01008456,532,531,1,-,533,528,-,5,5,8,6,512,1,1,-
S01008457,393,393,-,-,393,353,1,39,3,11,5,372,2,-,-
S01008458,442,442,-,-,442,428,2,12,13,91,101,235,1,1,-
S01008459,398,398,-,-,398,393,-,5,3,17,10,367,1,-,-
S01008460,377,376,1,-,378,368,1,9,6,20,30,322,-,-,-
S01008461,455,455,-,-,455,450,1,4,10,18,28,393,6,-,-
S01008462,357,357,-,-,357,349,-,8,5,19,34,298,1,-,-
S01008463,362,362,-,-,362,355,1,6,7,20,9,325,1,-,-
S01008464,416,416,-,-,416,413,-,3,3,27,32,353,-,1,-
S01008465,358,358,-,-,358,346,-,12,2,48,32,270,6,-,-
S01008466,321,321,-,-,321,318,-,3,3,31,29,253,4,1,-
S01008467,332,332,-,-,332,330,-,2,3,35,31,262,1,-,-
S01008468,239,239,-,-,239,232,6,1,2,27,56,150,2,1,1
S01008469,231,231,-,-,231,229,1,1,27,68,79,55,2,-,-
S01008470,311,311,-,-,311,298,12,1,13,52,92,152,1,1,-
S01008471,350,350,-,-,350,347,2,1,7,28,27,288,-,-,-
S01008472,279,279,-,-,279,277,-,2,16,67,65,130,1,-,-
S01008473,307,307,-,-,307,307,-,-,7,66,52,176,2,4,-
S01008474,447,447,-,-,447,440,-,7,7,39,40,360,-,1,-
S01008475,334,334,-,-,334,327,-,7,1,10,31,290,1,1,-
S01008476,417,417,-,-,417,406,1,10,1,8,16,391,1,-,-
S01008477,480,480,-,-,480,465,-,15,1,9,18,450,2,-,-
S01008478,453,453,-,-,453,439,1,13,5,11,14,419,3,1,-
S01008479,424,424,-,-,424,407,-,17,6,12,25,380,1,-,-
S01008480,280,280,-,-,280,279,1,-,5,48,29,197,1,-,-
S01008481,374,374,-,-,374,373,-,1,22,120,147,82,3,-,-
S01008482,322,322,-,-,322,316,-,6,12,55,115,139,-,1,-
S01008483,337,337,-,-,337,327,3,7,10,13,62,251,-,1,-
S01008484,351,351,-,-,351,342,-,9,43,112,34,161,1,-,-
S01008485,425,425,-,-,425,408,1,16,6,155,104,159,1,-,-
S01008486,464,464,-,-,464,459,-,5,22,83,102,254,3,-,-
S01008487,423,423,-,-,423,417,1,5,18,15,40,350,-,-,-
S01008488,428,428,-,-,428,416,-,12,3,11,11,399,2,2,-
S01008489,308,307,1,-,309,305,1,3,22,18,48,221,-,-,-
S01008490,547,547,-,-,547,528,1,18,9,9,30,493,6,-,-
S01008491,507,507,-,-,507,487,1,19,5,3,10,476,13,-,-
S01008492,526,525,1,-,527,515,4,8,2,7,6,502,10,-,-
S01008493,429,428,1,-,430,420,1,9,5,40,18,353,6,7,1
S01008494,420,420,-,-,420,409,-,11,2,9,10,394,2,3,-
S01008495,611,611,-,-,611,589,1,21,1,2,6,599,3,-,-
S01008496,686,686,-,-,686,676,2,8,-,-,9,675,1,1,-
S01008497,581,580,1,-,582,572,-,10,-,2,22,554,4,-,-
S01008498,532,531,1,-,533,525,-,8,4,7,12,502,2,5,1
S01008499,603,603,-,-,603,591,2,10,2,3,4,590,4,-,-
S01008500,208,207,1,-,209,209,-,-,-,1,4,203,1,-,-
S01008501,321,321,-,-,321,316,-,5,3,3,4,311,-,-,-
S01008502,384,384,-,-,384,373,1,10,-,1,7,374,1,1,-
S01008503,447,447,-,-,447,443,-,4,2,2,46,393,3,1,-
S01008504,553,553,-,-,553,543,4,6,12,14,109,412,6,-,-
S01008505,336,336,-,-,336,330,-,6,3,2,115,210,4,2,-
S01008506,454,454,-,-,454,442,1,11,16,23,27,327,61,-,-
S01008507,393,393,-,-,393,386,-,7,5,11,59,311,5,2,-
S01008508,362,362,-,-,362,358,3,1,49,57,124,121,11,-,-
S01008509,529,529,-,-,529,509,10,10,18,57,98,337,19,-,-
S01008510,395,395,-,-,395,390,-,5,156,80,71,85,2,1,-
S01008511,366,366,-,-,366,358,-,8,234,62,9,48,12,1,-
S01008512,210,210,-,-,210,201,2,7,124,62,2,21,-,1,-
S01008513,264,264,-,-,264,258,2,4,188,50,8,17,1,-,-
S01008514,421,421,-,-,421,397,3,21,72,27,117,197,7,1,-
S01008515,306,306,-,-,306,297,1,8,5,58,114,117,12,-,-
S01008516,620,620,-,-,620,592,12,16,4,9,6,598,3,-,-
S01008517,479,479,-,-,479,463,3,13,7,17,15,434,5,1,-
S01008518,387,387,-,-,387,378,2,7,15,18,143,204,7,-,-
S01008519,336,336,-,-,336,324,-,12,31,15,154,128,7,1,-
S01008520,434,434,-,-,434,433,1,-,215,64,83,49,21,2,-
S01008521,347,347,-,-,347,338,-,9,250,73,8,12,4,-,-
S01008522,234,234,-,-,234,228,1,5,66,12,52,91,13,-,-
S01008523,446,446,-,-,446,434,6,6,45,14,90,291,6,-,-
S01008524,457,457,-,-,457,442,-,15,3,47,42,364,1,-,-
S01008525,385,384,1,-,386,380,-,6,13,51,97,225,-,-,-
S01008526,458,458,-,-,458,448,2,8,7,36,74,338,2,1,-
S01008527,340,340,-,-,340,333,1,6,3,20,21,291,3,2,-
S01008528,305,305,-,-,305,304,-,1,6,25,11,261,2,-,-
S01008529,353,353,-,-,353,349,-,4,16,80,111,144,1,1,-
S01008530,376,376,-,-,376,369,2,5,2,9,20,343,1,1,-
S01008531,404,404,-,-,404,394,1,9,10,55,27,310,2,-,-
S01008532,217,217,-,-,217,213,-,4,6,35,108,63,2,3,-
S01008533,203,203,-,-,203,179,-,24,17,104,63,16,2,1,-
S01008534,291,291,-,-,291,274,1,16,102,97,58,34,-,-,-
S01008535,286,286,-,-,286,284,-,2,203,73,1,9,-,-,-
S01008536,271,271,-,-,271,263,-,8,123,78,17,51,2,-,-
S01008537,282,282,-,-,282,280,-,2,197,78,1,6,-,-,-
S01008538,245,245,-,-,245,242,-,3,218,21,2,4,-,-,-
S01008539,349,349,-,-,349,346,-,3,172,63,25,79,7,3,-
S01008540,381,381,-,-,381,373,-,8,197,139,29,14,2,-,-
S01008541,323,323,-,-,323,323,-,-,108,140,62,8,5,-,-
S01008542,337,337,-,-,337,337,-,-,179,100,48,8,2,-,-
S01008543,259,259,-,-,259,259,-,-,84,124,44,6,1,-,-
S01008544,217,217,-,-,217,216,-,1,123,42,33,19,-,-,-
S01008545,339,339,-,-,339,334,2,3,249,23,24,39,3,1,-
S01008546,343,343,-,-,343,337,2,4,254,79,5,4,-,1,-
S01008547,430,430,-,-,430,424,2,4,142,177,91,20,-,-,-
S01008548,356,356,-,-,356,347,-,9,81,137,69,68,1,-,-
S01008549,450,450,-,-,450,439,-,11,126,142,84,90,8,-,-
S01008550,348,348,-,-,348,346,1,1,103,111,72,47,15,-,-
S01008551,502,502,-,-,502,496,1,5,66,114,156,160,5,1,-
S01008552,385,385,-,-,385,383,1,1,169,78,82,56,-,-,-
S01008553,250,250,-,-,250,244,-,6,78,123,39,8,1,1,-
S01008554,369,369,-,-,369,368,-,1,27,208,47,79,7,1,-
S01008555,535,535,-,-,535,528,-,7,14,57,83,379,2,-,-
S01008556,356,356,-,-,356,346,-,10,7,68,115,165,-,1,-
S01008557,433,432,1,-,434,429,-,5,35,126,115,153,4,1,-
S01008558,439,439,-,-,439,433,1,5,14,63,144,217,1,-,-
S01008559,301,301,-,-,301,295,-,6,6,125,117,52,1,-,-
S01008560,300,300,-,-,300,295,-,5,18,145,78,57,-,2,-
S01008561,281,281,-,-,281,277,1,3,11,77,160,27,6,-,-
S01008562,349,349,-,-,349,344,-,5,11,89,72,170,6,1,-
S01008563,377,377,-,-,377,369,-,8,35,45,61,221,9,6,-
S01008564,323,323,-,-,323,315,1,7,14,53,179,69,3,5,-
S01008565,419,419,-,-,419,414,-,5,42,83,167,124,3,-,-
S01008566,436,436,-,-,436,433,-,3,21,191,156,68,-,-,-
S01008567,295,295,-,-,295,289,-,6,22,177,58,31,-,7,-
S01008568,359,359,-,-,359,350,2,7,39,157,134,28,1,-,-
S01008569,409,408,-,1,415,400,1,14,8,11,4,387,4,1,-
S01008570,426,426,-,-,426,426,-,-,45,131,59,188,-,-,3
S01008571,327,327,-,-,327,323,-,4,46,120,87,74,-,-,-
S01008572,352,352,-,-,352,346,1,5,41,85,141,78,1,6,-
S01008573,323,323,-,-,323,321,-,2,144,117,10,52,-,-,-
S01008574,295,295,-,-,295,293,2,-,103,74,68,44,6,-,-
S01008575,336,336,-,-,336,335,-,1,163,54,32,83,4,-,-
S01008576,388,388,-,-,388,386,-,2,77,77,96,134,3,1,-
S01008577,373,373,-,-,373,363,2,8,102,164,9,94,3,1,-
S01008578,294,294,-,-,294,291,-,3,72,166,19,24,9,4,-
S01008579,309,309,-,-,309,301,1,7,134,118,17,24,14,2,-
S01008580,263,263,-,-,263,261,-,2,50,43,116,53,1,-,-
S01008581,473,473,-,-,473,464,1,8,8,61,179,223,1,1,-
S01008582,494,494,-,-,494,486,-,8,24,73,181,199,14,3,-
S01008583,355,355,-,-,355,352,-,3,7,60,109,175,4,-,-
S01008584,400,400,-,-,400,394,2,4,12,44,122,211,11,-,-
S01008585,250,250,-,-,250,249,1,-,4,54,77,109,1,4,1
S01008586,366,365,1,-,367,360,-,7,17,99,154,94,3,-,-
S01008587,321,321,-,-,321,316,2,3,154,41,25,77,24,-,-
S01008588,351,351,-,-,351,344,-,7,23,39,77,209,3,-,-
S01008589,180,180,-,-,180,172,7,1,11,29,56,74,9,1,-
S01008590,441,441,-,-,441,413,7,21,6,28,54,349,4,-,-
S01008591,335,335,-,-,335,327,1,7,7,63,72,174,15,4,-
S01008592,374,374,-,-,374,356,-,18,18,67,108,179,2,-,-
S01008593,312,311,1,-,313,309,2,2,24,95,75,22,97,-,-
S01008594,437,437,-,-,437,428,4,5,36,89,40,153,119,-,-
S01008595,516,516,-,-,516,508,2,6,13,96,35,345,26,-,1
S01008596,463,463,-,-,463,455,-,8,9,19,37,390,8,-,-
S01008597,391,391,-,-,391,388,2,1,155,97,79,56,3,-,1
S01008598,331,331,-,-,331,329,-,2,11,20,24,257,18,-,1
S01008599,371,371,-,-,371,366,-,5,27,79,35,164,65,1,-
S01008600,312,311,1,-,313,306,2,5,25,64,25,110,89,-,-
S01008601,329,329,-,-,329,314,1,14,7,26,22,247,22,5,-
S01008602,331,331,-,-,331,323,5,3,2,8,11,306,3,1,-
S01008603,558,558,-,-,558,544,4,10,1,3,7,541,4,2,-
S01008604,425,422,1,2,430,418,8,4,23,27,43,281,51,5,-
S01008605,339,339,-,-,339,337,-,2,16,23,12,278,8,2,-
S01008606,295,295,-,-,295,287,5,3,10,45,69,89,79,3,-
S01008607,291,291,-,-,291,283,1,7,58,67,26,70,70,-,-
S01008608,332,332,-,-,332,326,3,3,21,28,33,180,70,-,-
S01008609,421,421,-,-,421,410,2,9,69,52,41,211,48,-,-
S01008610,433,433,-,-,433,416,7,10,58,30,9,255,80,-,1
S01008611,602,602,-,-,602,592,2,8,12,46,13,495,34,2,-
S01008612,385,384,-,1,387,376,1,10,4,4,2,372,5,-,-
S01008613,370,369,-,1,375,371,3,1,19,46,18,263,28,1,-
S01008614,317,317,-,-,317,307,1,9,2,10,15,280,9,1,-
S01008615,335,335,-,-,335,331,2,2,4,14,17,270,29,1,-
S01008616,260,260,-,-,260,259,1,-,-,4,2,250,3,1,-
S01008617,288,288,-,-,288,281,4,3,3,2,18,251,14,-,-
S01008618,271,270,-,1,273,267,-,6,2,2,3,263,3,-,-
S01008619,209,209,-,-,209,203,-,6,1,-,1,203,4,-,-
S01008620,296,296,-,-,296,290,2,4,2,1,2,280,10,1,-
S01008621,281,281,-,-,281,272,5,4,1,4,6,262,7,1,-
S01008622,208,208,-,-,208,200,5,3,-,1,5,198,4,-,-
S01008623,361,361,-,-,361,343,10,8,14,15,14,230,86,2,-
S01008624,353,353,-,-,353,346,2,5,49,38,33,135,98,-,-
S01008625,244,244,-,-,244,239,1,4,39,103,44,23,35,-,-
S01008626,399,399,-,-,399,388,4,7,41,40,83,187,47,1,-
S01008627,258,258,-,-,258,256,1,1,16,73,50,45,74,-,-
S01008628,276,276,-,-,276,262,4,10,19,12,8,223,13,1,-
S01008629,311,311,-,-,311,301,5,5,5,3,12,262,27,2,-
S01008630,288,288,-,-,288,277,4,7,6,5,5,266,4,2,-
S01008631,472,471,-,1,475,453,3,19,7,9,29,403,25,2,-
S01008632,430,430,-,-,430,420,5,5,6,3,20,381,20,-,-
S01008633,467,467,-,-,467,452,4,11,54,26,45,236,106,-,-
S01008634,285,285,-,-,285,276,3,6,36,23,2,143,81,-,-
S01008635,369,368,-,1,371,362,4,5,22,18,24,221,84,2,-
S01008636,372,371,-,1,375,367,3,5,28,24,21,217,83,2,-
S01008637,309,308,-,1,317,309,2,6,28,17,14,191,66,1,-
S01008638,352,352,-,-,352,344,-,8,3,4,34,282,28,1,-
S01008639,444,444,-,-,444,430,1,13,7,14,34,361,28,-,-
S01008640,354,352,1,1,357,351,1,5,3,5,16,292,41,-,-
S01008641,372,372,-,-,372,351,4,17,1,1,2,364,4,-,-
S01008642,437,437,-,-,437,433,1,3,21,20,27,330,39,-,-
S01008643,330,330,-,-,330,323,1,6,3,10,43,239,34,1,-
S01008644,392,392,-,-,392,386,2,4,2,8,17,335,28,2,-
S01008645,365,365,-,-,365,360,2,3,6,4,16,335,3,1,-
S01008646,461,461,-,-,461,453,1,7,3,12,41,399,3,3,-
S01008647,338,338,-,-,338,330,1,7,1,5,18,311,3,-,-
S01008648,356,356,-,-,356,339,-,17,2,1,5,342,5,1,-
S01008649,581,581,-,-,581,560,-,21,2,-,3,576,-,-,-
S01008650,493,493,-,-,493,470,2,21,2,3,3,480,5,-,-
S01008651,505,505,-,-,505,497,2,6,-,3,5,493,4,-,-
S01008652,407,407,-,-,407,387,8,12,-,-,9,395,2,1,-
S01008653,411,411,-,-,411,402,-,9,2,5,9,391,3,1,-
S01008654,596,595,1,-,597,585,3,9,2,2,2,584,6,1,-
S01008655,464,463,1,-,465,442,4,19,8,-,7,440,7,3,-
S01008656,432,431,1,-,433,426,3,4,1,1,2,423,6,-,-
S01008657,368,368,-,-,368,361,-,7,2,4,70,288,4,-,-
S01008658,619,619,-,-,619,555,2,62,2,3,22,582,6,2,2
S01008659,488,488,-,-,488,446,25,17,-,3,11,450,8,16,-
S01008660,483,482,1,-,484,444,16,24,2,6,33,408,21,14,-
S01008661,456,455,1,-,457,437,3,17,2,5,3,439,4,4,-
S01008662,295,295,-,-,295,276,12,7,1,-,1,286,3,4,-
S01008663,453,453,-,-,453,434,2,17,3,3,3,432,7,5,-
S01008664,403,403,-,-,403,396,2,5,2,-,9,382,1,9,-
S01008665,538,538,-,-,538,524,6,8,3,4,19,501,8,3,-
S01008666,327,327,-,-,327,311,5,11,1,2,2,319,2,1,-
S01008667,313,313,-,-,313,308,2,3,1,-,7,287,18,-,-
S01008668,288,288,-,-,288,280,1,7,1,1,2,270,13,1,-
S01008669,173,173,-,-,173,173,-,-,-,-,1,165,3,4,-
S01008670,268,268,-,-,268,260,1,7,2,3,4,253,4,2,-
S01008671,340,340,-,-,340,331,2,7,-,1,3,331,3,2,-
S01008672,344,344,-,-,344,341,-,3,1,5,11,323,3,1,-
S01008673,703,703,-,-,703,649,20,34,3,3,3,662,18,14,-
S01008674,431,431,-,-,431,413,9,9,3,-,4,388,9,26,1
S01008675,548,548,-,-,548,476,64,8,2,6,13,496,21,10,-
S01008676,416,416,-,-,416,338,64,14,8,7,24,331,33,13,-
S01008677,505,504,-,1,508,420,48,40,2,1,10,428,15,52,-
S01008678,415,414,1,-,416,393,17,6,4,1,5,379,11,16,-
S01008679,571,571,-,-,571,546,15,10,3,3,6,498,26,35,-
S01008680,345,345,-,-,345,326,10,9,1,1,6,315,8,14,-
S01008681,547,547,-,-,547,540,4,3,1,2,9,520,10,5,-
S01008682,438,438,-,-,438,431,2,5,3,4,20,391,19,1,-
S01008683,595,594,1,-,596,576,1,19,7,5,31,545,6,2,-
S01008684,577,576,1,-,578,532,32,14,4,4,13,553,3,1,-
S01008685,537,537,-,-,537,489,32,16,7,7,38,466,12,7,-
S01008686,596,596,-,-,596,585,4,7,1,5,3,574,11,2,-
S01008687,427,427,-,-,427,419,2,6,4,5,7,407,3,1,-
S01008688,475,475,-,-,475,457,5,13,4,13,26,428,4,-,-
S01008689,556,556,-,-,556,548,-,8,2,3,47,498,6,-,-
S01008690,605,605,-,-,605,598,3,4,1,4,94,495,10,1,-
S01008691,699,699,-,-,699,678,6,15,2,6,5,681,3,2,-
S01008692,409,409,-,-,409,391,1,17,-,22,9,374,4,-,-
S01008693,228,228,-,-,228,224,-,4,9,167,11,40,1,-,-
S01008694,544,544,-,-,544,537,2,5,1,16,62,462,2,1,-
S01008695,345,345,-,-,345,338,1,6,8,33,75,216,7,6,-
S01008696,287,287,-,-,287,285,-,2,3,24,177,77,6,-,-
S01008697,458,458,-,-,458,453,-,5,113,128,71,140,6,-,-
S01008698,215,215,-,-,215,209,1,5,64,95,24,32,-,-,-
S01008699,481,481,-,-,481,470,-,11,30,31,55,359,6,-,-
S01008700,252,252,-,-,252,248,2,2,110,33,38,65,5,1,-
S01008701,215,215,-,-,215,200,-,15,10,22,43,135,1,3,1
S01008702,338,338,-,-,338,312,1,25,10,5,9,272,5,-,37
S01008703,461,461,-,-,461,456,-,5,15,44,67,334,1,-,-
S01008704,329,329,-,-,329,307,-,22,25,48,128,124,3,-,1
S01008705,239,239,-,-,239,236,-,3,11,23,48,148,3,6,-
S01008706,252,252,-,-,252,243,-,9,15,54,61,120,1,-,1
S01008707,403,403,-,-,403,387,2,14,13,88,63,239,-,-,-
S01008708,454,453,1,-,455,452,-,3,11,73,42,328,-,-,1
S01008709,300,300,-,-,300,299,-,1,17,139,85,57,2,-,-
S01008710,210,210,-,-,210,208,-,2,19,99,36,54,2,-,-
S01008711,354,354,-,-,354,353,-,1,9,32,69,243,-,1,-
S01008712,508,508,-,-,508,499,-,9,20,88,189,208,3,-,-
S01008713,298,298,-,-,298,292,-,6,6,14,31,246,1,-,-
S01008714,298,298,-,-,298,297,-,1,33,53,15,195,2,-,-
S01008715,369,369,-,-,369,367,1,1,13,55,164,137,-,-,-
S01008716,297,297,-,-,297,295,-,2,4,42,83,165,3,-,-
S01008717,181,181,-,-,181,181,-,-,23,65,74,19,-,-,-
S01008718,223,223,-,-,223,222,-,1,22,107,60,34,-,-,-
S01008719,426,426,-,-,426,420,-,6,58,142,107,116,-,3,-
S01008720,252,252,-,-,252,243,-,9,23,66,76,80,3,4,-
S01008721,317,317,-,-,317,310,-,7,100,116,86,13,1,1,-
S01008722,494,494,-,-,494,480,-,14,193,52,144,85,18,2,-
S01008723,277,277,-,-,277,257,2,18,77,65,66,69,-,-,-
S01008724,412,412,-,-,412,400,1,11,124,46,92,133,17,-,-
S01008725,352,352,-,-,352,343,1,8,35,33,118,139,26,1,-
S01008726,246,246,-,-,246,241,2,3,13,59,39,78,57,-,-
S01008727,470,470,-,-,470,454,-,16,34,43,102,220,66,5,-
S01008728,238,238,-,-,238,229,1,8,7,7,21,171,18,14,-
S01008729,281,281,-,-,281,277,1,3,36,53,54,95,37,6,-
S01008730,419,418,1,-,420,411,3,6,10,27,37,328,15,3,-
S01008731,228,228,-,-,228,226,-,2,13,50,94,67,1,3,-
S01008732,349,348,1,-,350,340,-,10,2,16,62,247,18,5,-
S01008733,483,483,-,-,483,473,-,10,8,29,52,387,6,1,-
S01008734,274,274,-,-,274,266,-,8,52,44,35,112,31,-,-
S01008735,393,393,-,-,393,385,1,7,202,100,42,27,17,5,-
S01008736,293,293,-,-,293,290,-,3,188,66,5,33,1,-,-
S01008737,342,342,-,-,342,339,1,2,196,74,48,23,1,-,-
S01008738,309,309,-,-,309,299,3,7,244,55,-,9,1,-,-
S01008739,241,241,-,-,241,240,1,-,3,30,129,79,-,-,-
S01008740,227,227,-,-,227,227,-,-,9,134,73,11,-,-,-
S01008741,396,396,-,-,396,395,-,1,49,122,180,44,-,1,-
S01008742,284,284,-,-,284,280,2,2,14,39,48,178,5,-,-
S01008743,494,494,-,-,494,485,4,5,6,19,41,422,6,-,-
S01008744,532,532,-,-,532,519,-,13,7,81,67,373,4,-,-
S01008745,242,242,-,-,242,241,-,1,21,12,58,147,4,-,-
S01008746,582,582,-,-,582,572,1,9,9,24,12,535,1,1,-
S01008747,237,237,-,-,237,234,-,3,35,54,67,63,17,1,-
S01008748,287,287,-,-,287,283,-,4,131,92,38,26,-,-,-
S01008749,412,412,-,-,412,402,-,10,232,99,41,32,7,1,-
S01008750,315,315,-,-,315,313,-,2,96,130,57,29,1,2,-
S01008751,307,307,-,-,307,304,-,3,16,78,43,169,1,-,-
S01008752,475,475,-,-,475,459,1,15,3,10,7,454,1,-,-
S01008753,326,325,1,-,327,314,1,12,1,3,10,310,3,-,-
S01008754,368,368,-,-,368,362,1,5,2,7,8,349,2,-,-
S01008755,556,556,-,-,556,541,1,14,13,20,34,486,3,-,-
S01008756,424,424,-,-,424,418,1,5,3,2,22,394,2,1,-
S01008757,413,413,-,-,413,397,1,15,1,11,22,375,4,-,-
S01008758,462,462,-,-,462,444,1,17,14,45,38,365,-,-,-
S01008759,330,330,-,-,330,322,-,8,10,27,15,275,3,-,-
S01008760,512,512,-,-,512,500,-,12,12,35,37,420,6,2,-
S01008761,337,337,-,-,337,295,41,1,19,44,19,246,9,-,-
S01008762,305,305,-,-,305,301,-,4,3,70,116,114,2,-,-
S01008763,444,444,-,-,444,433,2,9,2,29,209,194,10,-,-
S01008764,312,312,-,-,312,306,3,3,11,52,88,140,20,1,-
S01008765,402,402,-,-,402,393,4,5,6,12,120,251,13,-,-
S01008766,419,419,-,-,419,413,1,5,18,89,133,165,14,-,-
S01008767,268,268,-,-,268,266,-,2,4,38,87,122,17,-,-
S01008768,267,267,-,-,267,256,1,10,19,24,12,202,10,-,-
S01008769,478,478,-,-,478,380,93,5,2,1,-,463,11,1,-
S01008770,445,442,3,-,448,431,15,2,2,2,1,441,1,-,1
S01008771,423,423,-,-,423,411,9,3,-,1,17,403,1,1,-
S01008772,411,411,-,-,411,395,12,4,7,23,79,259,37,-,6
S01008773,615,615,-,-,615,596,7,12,6,26,51,509,20,3,-
S01008774,627,627,-,-,627,495,19,113,4,32,55,529,4,3,-
S01008775,230,229,-,1,234,218,5,11,3,4,54,150,23,-,-
S01008776,472,470,2,-,474,467,-,7,4,10,14,443,2,1,-
S01008777,661,660,1,-,662,637,2,23,5,9,21,616,8,3,-
S01008778,725,725,-,-,725,664,57,4,-,4,45,645,14,17,-
S01008779,444,444,-,-,444,402,25,17,1,2,7,424,8,2,-
S01008780,336,336,-,-,336,329,1,6,-,1,5,320,7,3,-
S01008781,538,538,-,-,538,530,1,7,-,1,6,524,5,2,-
S01008782,415,414,1,-,416,400,2,14,4,6,11,346,41,8,-
S01008783,251,251,-,-,251,236,2,13,-,-,1,226,20,4,-
S01008784,270,270,-,-,270,268,1,1,1,-,2,252,11,4,-
S01008785,490,490,-,-,490,485,1,4,1,5,2,466,13,3,-
S01008786,555,554,1,-,556,540,2,14,5,-,3,518,26,4,-
S01008787,211,211,-,-,211,200,1,10,1,1,1,205,-,3,-
S01008788,384,384,-,-,384,376,6,2,3,12,-,347,12,10,-
S01008789,383,382,1,-,384,375,2,7,8,13,77,275,8,3,-
S01008790,358,357,-,1,361,353,-,8,1,3,8,327,21,1,-
S01008791,432,432,-,-,432,421,4,7,2,13,67,344,4,2,-
S01008792,426,426,-,-,426,415,3,8,2,7,51,342,22,2,-
S01008793,270,269,-,1,279,266,-,13,2,4,7,250,12,3,1
S01008794,498,498,-,-,498,492,2,4,5,5,17,461,8,2,-
S01008795,626,626,-,-,626,618,-,8,2,-,10,612,2,-,-
S01008796,633,632,1,-,634,622,2,10,1,4,16,605,7,1,-
S01008797,595,595,-,-,595,579,-,16,1,3,11,570,8,2,-
S01008798,508,508,-,-,508,502,-,6,1,1,6,498,1,1,-
S01008799,327,327,-,-,327,322,1,4,2,4,2,317,2,-,-
S01008800,662,662,-,-,662,651,6,5,1,-,6,646,6,3,-
S01008801,595,595,-,-,595,582,1,12,2,1,6,571,13,2,-
S01008802,635,635,-,-,635,614,3,18,2,2,5,624,1,1,-
S01008803,590,590,-,-,590,575,4,11,4,9,23,548,6,-,-
S01008804,347,347,-,-,347,332,-,15,1,3,1,341,1,-,-
S01008805,352,352,-,-,352,334,6,12,1,-,2,338,4,7,-
S01008806,582,581,1,-,583,558,10,15,2,2,11,560,6,2,-
S01008807,499,499,-,-,499,490,1,8,1,5,23,459,10,1,-
S01008808,405,405,-,-,405,391,1,13,-,2,11,389,3,-,-
S01008809,355,355,-,-,355,324,16,15,4,5,73,180,86,7,-
S01008810,393,393,-,-,393,383,3,7,2,1,5,379,6,-,-
S01008811,397,396,-,1,400,389,5,6,2,4,19,348,21,6,-
S01008812,271,271,-,-,271,260,2,9,1,-,1,260,3,6,-
S01008813,521,520,1,-,522,508,6,8,4,27,84,395,12,-,-
S01008814,421,421,-,-,421,403,1,17,5,18,98,276,20,3,1
S01008815,568,568,-,-,568,557,2,9,1,5,12,540,5,5,-
S01008816,333,332,-,1,335,321,5,9,2,15,34,270,13,1,-
