,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01009935,402,402,-,-,402,386,1,15,3,6,3,384,5,1,-
S01009936,407,407,-,-,407,397,-,10,10,11,16,361,9,-,-
S01009937,395,392,-,3,406,266,1,139,14,4,6,374,5,2,1
S01009938,595,595,-,-,595,570,3,22,5,10,20,557,1,1,1
S01009939,544,542,1,1,548,521,-,27,3,7,8,524,5,1,-
S01009940,443,442,1,-,444,438,-,6,6,21,8,409,-,-,-
S01009941,329,329,-,-,329,320,3,6,106,123,79,20,1,-,-
S01009942,508,508,-,-,508,486,-,22,3,19,40,445,-,1,-
S01009943,433,433,-,-,433,424,-,9,5,11,11,405,-,1,-
S01009944,346,346,-,-,346,344,1,1,13,36,51,241,4,1,-
S01009945,503,503,-,-,503,500,-,3,3,13,26,460,1,-,-
S01009946,354,354,-,-,354,348,-,6,10,51,103,186,4,-,-
S01009947,267,267,-,-,267,266,-,1,11,59,52,140,2,3,-
S01009948,439,438,-,1,441,431,1,9,4,10,82,343,2,-,-
S01009949,378,378,-,-,378,368,-,10,-,22,63,290,2,1,-
S01009950,260,260,-,-,260,256,-,4,85,113,38,21,3,-,-
S01009951,261,261,-,-,261,259,-,2,28,175,29,19,10,-,-
S01009952,326,326,-,-,326,311,1,14,7,19,174,113,12,-,1
S01009953,360,360,-,-,360,358,-,2,23,46,207,81,2,1,-
S01009954,219,219,-,-,219,214,-,5,87,52,23,45,12,-,-
S01009955,458,458,-,-,458,447,1,10,22,94,97,233,12,-,-
S01009956,339,339,-,-,339,324,2,13,16,28,18,271,6,-,-
S01009957,300,300,-,-,300,294,-,6,33,152,37,62,14,2,-
S01009958,376,376,-,-,376,371,-,5,8,37,243,63,25,-,-
S01009959,296,296,-,-,296,288,1,7,54,82,47,98,14,-,1
S01009960,419,419,-,-,419,395,3,21,55,48,138,175,2,1,-
S01009961,302,302,-,-,302,293,-,9,12,76,111,98,3,2,-
S01009962,617,617,-,-,617,599,-,18,4,51,76,475,4,6,1
S01009963,301,301,-,-,301,301,-,-,8,247,2,43,-,-,1
S01009964,356,355,-,1,360,344,-,16,13,95,118,110,23,1,-
S01009965,301,301,-,-,301,298,-,3,27,222,10,41,1,-,-
S01009966,295,295,-,-,295,292,-,3,8,232,40,14,-,-,1
S01009967,391,391,-,-,391,383,-,8,23,92,79,188,8,1,-
S01009968,235,235,-,-,235,232,-,3,2,138,72,16,2,5,-
S01009969,369,369,-,-,369,364,-,5,195,46,76,45,7,-,-
S01009970,476,475,-,1,478,476,-,2,1,11,18,444,4,-,-
S01009971,487,486,1,-,488,488,-,-,53,97,79,255,4,-,-
S01009972,373,373,-,-,373,364,-,9,95,54,42,171,10,1,-
S01009973,287,287,-,-,287,283,2,2,30,83,125,49,-,-,-
S01009974,294,294,-,-,294,294,-,-,3,14,31,244,2,-,-
S01009975,404,403,1,-,405,398,-,7,6,40,85,273,1,-,-
S01009976,258,258,-,-,258,255,-,3,1,3,20,232,1,-,1
S01009977,558,557,1,-,559,555,-,4,6,36,45,469,3,-,-
S01009978,450,450,-,-,450,444,1,5,10,91,113,233,3,-,-
S01009979,258,258,-,-,258,258,-,-,4,14,50,188,2,-,-
S01009980,252,252,-,-,252,250,-,2,5,37,63,146,1,-,-
S01009981,304,303,1,-,305,303,-,2,7,33,86,177,1,-,1
S01009982,429,428,-,1,431,428,-,3,65,85,60,219,2,-,-
S01009983,290,290,-,-,290,289,1,-,6,14,28,238,3,-,1
S01009984,351,351,-,-,351,350,-,1,8,66,96,177,3,1,-
S01009985,278,278,-,-,278,270,-,8,4,22,47,203,2,-,-
S01009986,285,285,-,-,285,280,-,5,6,16,24,237,2,-,-
S01009987,475,475,-,-,475,472,-,3,1,50,67,357,-,-,-
S01009988,271,271,-,-,271,270,-,1,1,14,17,237,2,-,-
S01009989,357,357,-,-,357,354,-,3,3,43,35,275,1,-,-
S01009990,309,309,-,-,309,302,-,7,3,6,5,292,3,-,-
S01009991,334,334,-,-,334,333,-,1,3,14,4,306,7,-,-
S01009992,336,336,-,-,336,330,-,6,3,27,87,217,2,-,-
S01009993,351,351,-,-,351,349,-,2,13,13,3,311,11,-,-
S01009994,308,308,-,-,308,302,-,6,2,10,7,287,2,-,-
S01009995,281,281,-,-,281,269,-,12,4,7,2,263,4,-,1
S01009996,308,307,-,1,313,310,-,3,1,18,1,283,10,-,-
S01009997,257,257,-,-,257,251,-,6,2,7,4,242,2,-,-
S01009998,250,250,-,-,250,246,-,4,155,45,7,38,4,1,-
S01009999,286,286,-,-,286,285,-,1,3,132,46,104,1,-,-
