,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01010077,302,127,96,40,25,10,3,1,0
S01010078,229,37,80,48,39,19,5,0,1
S01010079,349,57,136,57,76,19,4,0,0
S01010080,284,79,103,51,42,9,0,0,0
S01010081,300,84,114,44,43,9,4,1,1
S01010082,407,146,140,66,45,10,0,0,0
S01010083,348,152,96,52,28,16,4,0,0
S01010084,442,187,148,51,42,11,2,1,0
S01010085,311,77,102,64,54,13,1,0,0
S01010086,414,142,134,67,54,14,3,0,0
S01010087,247,59,103,41,35,9,0,0,0
S01010088,295,48,93,64,62,23,3,2,0
S01010089,365,184,99,42,28,9,3,0,0
S01010090,435,128,131,70,76,30,0,0,0
S01010091,343,75,116,76,53,20,2,1,0
S01010092,446,158,149,75,45,17,2,0,0
S01010093,386,119,133,72,47,11,3,1,0
S01010094,291,91,85,55,44,11,5,0,0
S01010095,279,61,104,50,46,15,3,0,0
S01010096,292,64,88,67,58,12,2,1,0
S01010097,286,63,102,49,50,16,5,1,0
S01010098,277,54,90,55,62,16,0,0,0
S01010099,285,77,85,56,55,9,2,1,0
S01010100,382,104,150,58,47,18,5,0,0
S01010101,299,75,104,65,41,10,1,3,0
S01010102,324,45,88,80,84,23,2,1,1
S01010103,355,67,94,85,88,17,2,1,1
S01010104,267,51,61,71,56,23,5,0,0
S01010105,165,45,49,38,23,6,3,0,1
S01010106,219,92,55,51,19,1,1,0,0
S01010107,404,177,120,66,28,12,1,0,0
S01010108,374,172,111,41,36,12,2,0,0
S01010109,326,97,128,53,32,10,4,1,1
S01010110,431,193,140,69,20,9,0,0,0
S01010111,446,171,118,80,51,23,2,0,1
S01010112,419,140,126,93,36,17,5,0,2
S01010113,244,81,75,54,22,7,2,1,2
S01010114,366,145,116,54,30,12,5,4,0
S01010115,230,47,58,57,49,15,1,3,0
S01010116,397,70,139,104,66,13,4,1,0
S01010117,261,60,82,67,37,12,2,0,1
S01010118,277,96,70,47,37,17,4,4,2
S01010119,209,50,62,37,43,16,1,0,0
S01010120,444,144,128,93,48,21,5,3,2
S01010121,321,138,91,43,31,12,2,2,2
S01010122,198,86,52,33,11,8,5,2,1
S01010123,299,92,73,77,35,11,9,1,1
S01010124,293,100,89,59,36,7,2,0,0
S01010125,242,80,73,51,25,11,1,0,1
S01010126,312,90,93,70,52,6,1,0,0
S01010127,296,116,97,45,24,8,3,3,0
S01010128,214,72,64,37,30,7,2,2,0
S01010129,350,148,104,52,31,11,2,0,2
S01010130,206,79,75,28,17,7,0,0,0
S01010131,376,103,129,56,63,23,2,0,0
S01010132,497,215,161,74,30,13,3,1,0
S01010133,380,192,104,48,22,8,2,3,1
S01010134,551,274,170,65,27,13,1,1,0
S01010135,365,145,115,56,32,11,3,1,2
S01010136,367,124,132,48,43,16,3,1,0
S01010137,583,329,156,68,28,2,0,0,0
S01010138,660,472,121,46,17,3,1,0,0
S01010139,552,273,150,82,32,14,0,1,0
S01010140,384,171,108,60,40,4,1,0,0
S01010141,447,224,125,69,22,5,1,1,0
S01010142,288,121,86,54,20,5,2,0,0
S01010143,391,182,112,65,22,10,0,0,0
S01010144,372,175,107,57,26,6,1,0,0
S01010145,397,175,121,57,33,9,1,1,0
S01010146,406,212,92,59,29,10,2,2,0
S01010147,494,250,104,93,27,14,5,0,1
S01010148,356,135,101,61,35,21,2,1,0
S01010149,231,77,90,32,18,11,2,1,0
S01010150,325,148,106,47,17,7,0,0,0
S01010151,329,153,101,44,19,11,0,1,0
S01010152,425,163,157,63,30,10,1,0,1
S01010153,491,244,144,52,41,7,1,1,1
S01010154,432,184,148,63,27,6,3,1,0
S01010155,362,169,105,46,27,15,0,0,0
S01010156,281,129,69,50,26,3,0,3,1
S01010157,267,101,89,37,23,15,2,0,0
S01010158,461,188,160,59,44,8,2,0,0
S01010159,353,144,117,39,39,12,2,0,0
S01010160,308,154,66,46,29,13,0,0,0
S01010161,259,73,78,46,42,19,1,0,0
S01010162,360,130,119,60,38,10,2,1,0
S01010163,239,56,80,52,32,18,0,1,0
S01010164,282,70,74,65,44,21,5,1,2
S01010165,275,84,89,65,25,7,1,3,1
S01010166,347,150,86,70,30,6,3,2,0
S01010167,472,250,149,49,23,1,0,0,0
S01010168,236,77,87,39,27,6,0,0,0
S01010169,367,109,131,66,40,16,2,3,0
S01010170,271,112,86,51,14,8,0,0,0
S01010171,489,207,129,85,40,18,5,2,3
S01010172,481,316,126,30,8,0,1,0,0
S01010173,331,111,103,55,45,8,5,3,1
S01010174,250,88,66,44,34,15,2,0,1
S01010175,216,80,66,30,25,13,1,1,0
S01010176,369,181,103,39,31,13,2,0,0
S01010177,315,88,98,61,38,24,5,1,0
S01010178,391,112,101,74,53,33,11,4,3
S01010179,387,133,128,76,34,14,0,2,0
S01010180,215,36,78,49,41,9,2,0,0
S01010181,272,88,80,52,36,14,1,1,0
S01010182,307,93,129,41,32,8,3,1,0
S01010183,232,89,84,38,13,8,0,0,0
S01010184,286,108,80,50,39,6,1,2,0
S01010185,282,92,90,56,32,9,1,2,0
S01010186,246,49,78,58,45,12,2,0,2
S01010187,294,101,99,51,34,7,2,0,0
S01010188,304,98,102,51,39,14,0,0,0
S01010189,336,54,85,75,90,27,3,2,0
S01010190,253,25,77,67,65,15,3,1,0
S01010191,266,54,68,61,58,19,6,0,0
S01010192,294,41,62,86,81,22,2,0,0
S01010193,329,115,91,64,48,8,3,0,0
S01010194,268,91,77,49,28,14,9,0,0
S01010195,212,69,43,51,31,13,2,2,1
S01010196,274,71,84,56,37,22,3,1,0
S01010197,260,63,86,45,44,18,4,0,0
S01010198,394,118,114,81,51,26,2,2,0
S01010199,232,71,78,49,24,9,1,0,0
S01010200,305,112,89,48,35,12,7,2,0
S01010201,253,66,70,55,42,16,4,0,0
S01010202,365,143,95,75,39,10,2,1,0
S01010203,260,49,97,47,52,13,1,0,1
S01010204,381,154,115,59,36,11,4,1,1
S01010205,355,170,115,37,22,7,4,0,0
S01010206,255,104,87,38,25,1,0,0,0
S01010207,285,113,52,28,27,34,23,5,3
S01010208,565,343,139,55,23,5,0,0,0
S01010209,468,226,144,51,31,9,5,2,0
S01010210,416,158,134,64,41,14,3,1,1
S01010211,452,217,122,72,27,11,3,0,0
S01010212,559,290,148,63,41,14,1,1,1
S01010213,476,202,161,74,24,11,2,1,1
