,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01008357,296,83,105,41,48,17,1,1,0
S01008358,346,144,113,46,31,9,1,2,0
S01008359,250,63,80,38,46,20,3,0,0
S01008360,319,48,129,56,62,22,2,0,0
S01008361,201,35,78,38,41,7,2,0,0
S01008362,409,151,91,69,77,18,3,0,0
S01008363,320,104,105,46,45,15,4,0,1
S01008364,322,97,106,46,56,15,0,1,1
S01008365,288,81,116,29,44,14,2,0,2
S01008366,424,180,112,61,51,14,6,0,0
S01008367,368,172,102,42,39,9,4,0,0
S01008368,311,126,89,44,41,9,2,0,0
S01008369,235,74,82,41,29,6,1,1,1
S01008370,300,107,91,41,39,15,4,0,3
S01008371,302,65,91,59,61,17,8,1,0
S01008372,288,57,85,57,66,17,5,0,1
S01008373,269,36,78,58,66,26,3,1,1
S01008374,264,46,91,51,58,16,2,0,0
S01008375,285,46,98,45,70,25,0,1,0
S01008376,212,57,59,37,37,19,2,0,1
S01008377,291,81,78,50,60,16,5,0,1
S01008378,421,133,118,68,75,20,7,0,0
S01008379,206,45,78,34,31,13,3,0,2
S01008380,238,44,70,52,55,15,0,2,0
S01008381,229,37,60,62,49,16,5,0,0
S01008382,248,55,83,38,52,15,4,0,1
S01008383,181,43,51,31,46,7,1,0,2
S01008384,387,87,141,69,69,14,5,0,2
S01008385,252,47,95,36,49,18,6,1,0
S01008386,337,87,118,73,46,10,2,1,0
S01008387,241,50,83,54,41,11,2,0,0
S01008388,243,49,72,59,54,6,0,3,0
S01008389,312,134,112,25,25,13,0,2,1
S01008390,255,66,88,41,49,8,3,0,0
S01008391,349,139,95,37,48,27,3,0,0
S01008392,330,73,84,67,74,25,6,1,0
S01008393,369,145,95,49,58,13,6,3,0
S01008394,276,38,74,45,94,20,4,0,1
S01008395,189,34,55,37,45,12,6,0,0
S01008396,303,122,103,30,36,9,2,1,0
S01008397,346,64,121,56,75,22,6,1,1
S01008398,238,59,84,45,35,10,4,0,1
S01008399,257,104,89,24,22,16,1,0,1
S01008400,261,65,82,38,45,25,2,3,1
S01008401,404,132,130,47,59,27,3,4,2
S01008402,415,83,161,57,75,25,8,5,1
S01008403,218,41,72,32,46,22,4,0,1
S01008404,349,89,110,58,65,21,4,2,0
S01008405,266,41,93,59,33,23,9,3,5
S01008406,451,216,102,47,51,21,8,2,4
S01008407,284,157,67,30,18,6,4,1,1
S01008408,265,77,67,51,51,15,4,0,0
S01008409,390,164,107,50,48,17,2,1,1
S01008410,269,113,76,26,35,11,6,1,1
S01008411,247,70,84,34,39,15,3,1,1
S01008412,274,85,72,36,50,21,6,4,0
S01008413,222,66,70,29,35,18,2,2,0
S01008414,152,22,43,32,31,15,8,1,0
S01008415,347,114,98,50,52,27,5,0,1
S01008416,437,181,105,82,48,15,5,1,0
S01008417,299,70,124,42,42,14,6,0,1
S01008418,312,95,117,50,38,11,1,0,0
S01008419,193,58,47,20,53,14,1,0,0
S01008420,190,36,79,33,29,11,2,0,0
S01008421,394,146,108,82,42,14,2,0,0
S01008422,241,49,95,33,42,18,3,1,0
S01008423,398,74,147,55,84,35,2,1,0
S01008424,338,63,159,43,44,25,4,0,0
S01008425,409,111,164,49,59,23,3,0,0
S01008426,264,89,89,41,42,3,0,0,0
S01008427,397,54,143,96,80,24,0,0,0
S01008428,316,120,103,38,40,14,1,0,0
S01008429,352,89,134,47,69,12,0,1,0
S01008430,276,70,107,40,40,16,2,0,1
S01008431,352,94,118,68,54,17,0,1,0
S01008432,293,66,121,47,44,14,1,0,0
S01008433,348,79,151,61,45,9,3,0,0
S01008434,322,61,132,60,55,8,6,0,0
S01008435,301,51,127,53,54,10,6,0,0
S01008436,356,95,134,55,56,12,4,0,0
S01008437,367,165,117,43,33,6,3,0,0
S01008438,189,61,56,31,34,7,0,0,0
S01008439,434,94,152,70,89,26,3,0,0
S01008440,403,82,172,52,72,24,0,1,0
S01008441,186,37,77,29,32,8,2,1,0
S01008442,303,89,117,44,42,9,2,0,0
S01008443,252,68,101,30,43,10,0,0,0
S01008444,260,74,84,47,38,14,3,0,0
S01008445,403,168,97,38,72,23,5,0,0
S01008446,323,76,125,48,60,13,1,0,0
S01008447,286,61,130,43,38,11,3,0,0
S01008448,315,67,134,52,48,12,2,0,0
S01008449,351,146,77,64,35,17,7,4,1
S01008450,256,97,77,41,26,13,2,0,0
S01008451,325,154,71,45,25,19,5,5,1
S01008452,271,126,49,33,29,21,6,5,2
S01008453,215,68,62,49,18,14,3,1,0
S01008454,393,146,93,71,43,22,3,14,1
S01008455,501,221,141,83,44,7,1,3,1
S01008456,528,262,142,76,43,3,2,0,0
S01008457,353,189,103,36,16,6,2,1,0
S01008458,428,145,128,70,56,16,12,1,0
S01008459,393,205,88,60,26,9,4,1,0
S01008460,368,161,79,62,44,13,5,3,1
S01008461,450,193,130,66,44,15,2,0,0
S01008462,349,228,72,19,18,9,3,0,0
S01008463,355,175,94,48,29,7,2,0,0
S01008464,413,141,162,62,41,7,0,0,0
S01008465,346,108,142,49,37,6,3,1,0
S01008466,318,86,112,68,39,8,2,2,1
S01008467,330,77,135,51,53,12,1,1,0
S01008468,232,54,72,43,33,24,6,0,0
S01008469,229,54,74,55,27,16,1,1,1
S01008470,298,87,93,59,32,20,2,3,2
S01008471,347,106,85,83,39,28,5,1,0
S01008472,277,81,75,53,36,16,12,4,0
S01008473,307,110,90,45,41,16,4,1,0
S01008474,440,230,117,61,29,2,1,0,0
S01008475,327,154,111,28,22,10,2,0,0
S01008476,406,216,121,38,28,3,0,0,0
S01008477,465,251,152,40,13,8,1,0,0
S01008478,439,229,119,50,25,10,6,0,0
S01008479,407,166,163,54,19,5,0,0,0
S01008480,279,73,133,42,16,12,3,0,0
S01008481,373,74,128,79,57,26,5,4,0
S01008482,316,128,122,35,25,6,0,0,0
S01008483,327,156,111,33,17,8,1,1,0
S01008484,342,113,117,59,39,13,0,0,1
S01008485,408,103,136,73,67,22,6,1,0
S01008486,459,206,155,52,37,7,2,0,0
S01008487,417,182,161,48,20,5,1,0,0
S01008488,416,188,149,48,22,8,1,0,0
S01008489,305,114,106,54,25,5,0,1,0
S01008490,528,283,163,55,22,4,0,0,1
S01008491,487,209,171,73,27,6,1,0,0
S01008492,515,230,188,59,30,7,1,0,0
S01008493,420,197,125,51,42,5,0,0,0
S01008494,409,222,136,25,19,1,5,0,1
S01008495,589,344,197,41,5,2,0,0,0
S01008496,676,437,203,32,3,1,0,0,0
S01008497,572,397,144,25,5,0,1,0,0
S01008498,525,344,139,28,12,2,0,0,0
S01008499,591,291,220,59,18,2,1,0,0
S01008500,209,107,49,27,16,8,2,0,0
S01008501,316,127,123,40,16,10,0,0,0
S01008502,373,179,137,48,7,2,0,0,0
S01008503,443,163,198,57,22,3,0,0,0
S01008504,543,202,195,77,61,8,0,0,0
S01008505,330,112,125,39,39,14,1,0,0
S01008506,442,212,156,40,28,5,0,1,0
S01008507,386,151,150,46,30,8,1,0,0
S01008508,358,102,124,59,53,17,2,0,1
S01008509,509,201,194,61,43,10,0,0,0
S01008510,390,97,156,68,55,13,1,0,0
S01008511,358,82,142,61,47,17,7,1,1
S01008512,201,43,73,38,37,8,0,2,0
S01008513,258,48,103,38,47,20,1,1,0
S01008514,397,140,123,73,39,17,4,1,0
S01008515,297,82,82,52,62,17,2,0,0
S01008516,592,371,163,32,22,4,0,0,0
S01008517,463,216,146,69,18,13,0,0,1
S01008518,378,96,142,63,50,26,1,0,0
S01008519,324,86,106,47,58,25,1,1,0
S01008520,433,93,170,71,67,30,2,0,0
S01008521,338,54,136,45,81,17,4,0,1
S01008522,228,57,91,38,33,8,0,1,0
S01008523,434,142,147,67,63,13,1,1,0
S01008524,442,186,150,73,14,16,0,2,1
S01008525,380,186,86,53,27,20,6,2,0
S01008526,448,208,137,61,33,6,2,1,0
S01008527,333,108,113,69,34,6,2,1,0
S01008528,304,90,91,66,40,12,5,0,0
S01008529,349,132,113,58,39,6,1,0,0
S01008530,369,161,119,50,25,13,0,0,1
S01008531,394,182,125,46,32,5,3,1,0
S01008532,213,86,63,34,22,7,1,0,0
S01008533,179,20,54,39,42,19,2,3,0
S01008534,274,46,107,55,41,20,2,2,1
S01008535,284,68,97,47,59,11,1,0,1
S01008536,263,79,109,37,30,7,1,0,0
S01008537,280,56,121,53,38,9,2,1,0
S01008538,242,70,99,32,31,7,2,1,0
S01008539,346,98,109,63,59,14,1,1,1
S01008540,373,88,160,57,58,10,0,0,0
S01008541,323,52,102,71,78,15,5,0,0
S01008542,337,52,114,56,83,30,2,0,0
S01008543,259,37,71,61,75,12,3,0,0
S01008544,216,31,52,36,78,16,3,0,0
S01008545,334,68,117,47,68,27,3,3,1
S01008546,337,55,163,62,46,11,0,0,0
S01008547,424,108,153,80,63,16,4,0,0
S01008548,347,84,125,71,49,16,2,0,0
S01008549,439,144,168,57,54,15,1,0,0
S01008550,346,102,127,57,37,17,4,2,0
S01008551,496,201,188,53,39,13,2,0,0
S01008552,383,115,154,42,49,14,5,2,2
S01008553,244,77,103,34,16,11,2,1,0
S01008554,368,78,74,98,58,37,16,3,4
S01008555,528,250,127,100,35,14,1,1,0
S01008556,346,129,97,62,32,17,7,2,0
S01008557,429,188,105,63,47,22,1,1,2
S01008558,433,179,133,56,41,13,9,0,2
S01008559,295,85,107,49,33,8,2,3,8
S01008560,295,91,92,52,39,16,3,2,0
S01008561,277,79,91,51,37,11,3,4,1
S01008562,344,184,74,42,24,12,1,1,6
S01008563,369,129,122,61,40,15,1,0,1
S01008564,315,143,101,45,23,3,0,0,0
S01008565,414,144,131,72,40,19,5,3,0
S01008566,433,123,141,67,66,24,10,2,0
S01008567,289,74,91,52,37,27,7,1,0
S01008568,350,115,115,58,40,19,2,1,0
S01008569,400,249,92,34,20,5,0,0,0
S01008570,426,156,117,80,49,16,3,3,2
S01008571,323,129,95,57,28,14,0,0,0
S01008572,346,99,112,66,54,12,1,2,0
S01008573,321,73,109,49,75,10,4,1,0
S01008574,293,70,98,63,42,16,4,0,0
S01008575,335,90,113,66,50,12,3,0,1
S01008576,386,118,163,65,24,12,3,1,0
S01008577,363,122,129,56,40,12,4,0,0
S01008578,291,56,122,42,49,15,5,2,0
S01008579,301,85,141,37,29,9,0,0,0
S01008580,261,99,93,33,27,5,3,1,0
S01008581,464,208,150,58,31,14,3,0,0
S01008582,486,185,161,71,50,15,3,1,0
S01008583,352,155,99,51,30,15,2,0,0
S01008584,394,144,130,60,37,16,5,1,1
S01008585,249,77,71,51,30,15,4,1,0
S01008586,360,143,91,53,42,27,4,0,0
S01008587,316,80,131,46,39,15,3,1,1
S01008588,344,128,94,53,49,17,2,1,0
S01008589,172,59,61,19,18,10,5,0,0
S01008590,413,200,129,42,35,7,0,0,0
S01008591,327,84,119,56,40,20,3,3,2
S01008592,356,143,99,53,47,12,2,0,0
S01008593,309,71,117,39,59,20,3,0,0
S01008594,428,134,151,69,54,18,2,0,0
S01008595,508,302,136,42,14,9,2,0,3
S01008596,455,203,161,51,30,7,2,1,0
S01008597,388,114,141,69,43,21,0,0,0
S01008598,329,90,102,60,52,21,3,1,0
S01008599,366,92,116,81,57,19,1,0,0
S01008600,306,68,111,41,53,31,0,1,1
S01008601,314,104,79,69,38,19,3,0,2
S01008602,323,172,99,26,21,5,0,0,0
S01008603,544,204,192,82,45,19,2,0,0
S01008604,418,170,147,48,29,16,3,2,3
S01008605,337,125,121,43,37,9,1,1,0
S01008606,287,65,87,45,63,25,2,0,0
S01008607,283,103,88,44,30,12,5,1,0
S01008608,326,121,98,49,49,8,1,0,0
S01008609,410,148,142,46,46,23,4,1,0
S01008610,416,192,108,43,62,6,4,0,1
S01008611,592,262,202,83,32,10,3,0,0
S01008612,376,144,125,55,40,12,0,0,0
S01008613,371,148,112,47,47,11,3,0,3
S01008614,307,106,88,68,35,9,1,0,0
S01008615,331,76,98,75,61,21,0,0,0
S01008616,259,42,48,99,54,14,2,0,0
S01008617,281,50,57,61,86,24,3,0,0
S01008618,267,64,48,65,73,13,2,1,1
S01008619,203,58,36,52,51,6,0,0,0
S01008620,290,50,89,59,62,24,2,2,2
S01008621,272,49,56,86,56,23,2,0,0
S01008622,200,58,48,36,39,16,2,1,0
S01008623,343,109,84,50,64,31,4,1,0
S01008624,346,153,119,30,24,14,6,0,0
S01008625,239,65,86,37,38,12,1,0,0
S01008626,388,104,148,58,50,23,5,0,0
S01008627,256,57,78,44,50,21,3,2,1
S01008628,262,80,102,36,32,11,1,0,0
S01008629,301,142,89,36,27,7,0,0,0
S01008630,277,114,87,43,27,5,1,0,0
S01008631,453,238,136,52,17,9,0,1,0
S01008632,420,218,146,31,18,6,1,0,0
S01008633,452,196,138,49,43,21,3,2,0
S01008634,276,66,85,41,58,22,3,0,1
S01008635,362,124,109,63,42,20,3,1,0
S01008636,367,114,124,50,53,22,2,1,1
S01008637,309,106,113,33,41,12,4,0,0
S01008638,344,122,98,54,40,23,6,1,0
S01008639,430,182,139,55,42,7,3,0,2
S01008640,351,108,130,60,40,10,3,0,0
S01008641,351,104,105,75,50,16,1,0,0
S01008642,433,154,142,83,34,14,3,3,0
S01008643,323,111,109,60,29,10,3,0,1
S01008644,386,173,120,40,31,21,0,1,0
S01008645,360,110,125,64,44,10,3,3,1
S01008646,453,216,156,51,19,11,0,0,0
S01008647,330,153,123,30,20,4,0,0,0
S01008648,339,149,132,40,14,3,1,0,0
S01008649,560,330,190,30,9,1,0,0,0
S01008650,470,272,152,33,10,2,1,0,0
S01008651,497,332,147,12,6,0,0,0,0
S01008652,387,253,98,28,6,2,0,0,0
S01008653,402,216,130,36,8,7,3,1,1
S01008654,585,315,211,42,13,3,0,1,0
S01008655,442,199,166,51,18,8,0,0,0
S01008656,426,264,117,36,7,2,0,0,0
S01008657,361,159,129,47,24,2,0,0,0
S01008658,555,302,183,52,14,4,0,0,0
S01008659,446,208,139,69,21,6,3,0,0
S01008660,444,177,140,60,42,21,2,2,0
S01008661,437,228,136,48,18,5,1,1,0
S01008662,276,136,75,42,17,4,2,0,0
S01008663,434,198,148,43,24,17,3,1,0
S01008664,396,187,143,37,25,3,1,0,0
S01008665,524,253,182,52,23,11,1,1,1
S01008666,311,85,97,51,56,21,0,0,1
S01008667,308,101,94,48,34,30,1,0,0
S01008668,280,109,112,38,11,8,0,0,2
S01008669,173,25,33,26,36,53,0,0,0
S01008670,260,63,53,45,52,41,2,4,0
S01008671,331,126,85,49,47,24,0,0,0
S01008672,341,141,109,49,30,12,0,0,0
S01008673,649,368,193,56,21,10,0,0,1
S01008674,413,196,117,59,29,11,1,0,0
S01008675,476,302,137,24,8,5,0,0,0
S01008676,338,131,128,34,29,13,2,0,1
S01008677,420,197,164,35,19,5,0,0,0
S01008678,393,164,156,53,16,3,0,1,0
S01008679,546,346,131,28,20,21,0,0,0
S01008680,326,163,98,35,21,7,0,2,0
S01008681,540,281,139,77,38,2,2,1,0
S01008682,431,209,141,46,24,9,1,1,0
S01008683,576,277,162,92,34,6,4,1,0
S01008684,532,285,151,58,29,8,1,0,0
S01008685,489,274,164,33,14,4,0,0,0
S01008686,585,338,171,36,35,4,0,1,0
S01008687,419,225,166,21,7,0,0,0,0
S01008688,457,216,163,53,20,4,1,0,0
S01008689,548,313,183,33,14,4,1,0,0
S01008690,598,309,217,46,21,5,0,0,0
S01008691,678,390,227,42,16,2,1,0,0
S01008692,391,217,132,28,8,6,0,0,0
S01008693,224,70,84,39,23,8,0,0,0
S01008694,537,230,202,63,35,6,0,1,0
S01008695,338,111,133,62,26,3,0,3,0
S01008696,285,75,101,60,33,12,2,2,0
S01008697,453,106,193,79,59,10,4,1,1
S01008698,209,61,71,35,30,11,0,0,1
S01008699,470,214,143,64,36,10,2,1,0
S01008700,248,68,101,38,23,15,3,0,0
S01008701,200,103,46,23,16,9,1,0,2
S01008702,312,131,124,35,17,2,0,2,1
S01008703,456,199,119,63,48,23,2,1,1
S01008704,307,109,87,56,33,16,5,1,0
S01008705,236,100,62,39,24,9,2,0,0
S01008706,243,87,55,47,36,16,0,1,1
S01008707,387,163,87,59,52,18,7,0,1
S01008708,452,247,88,56,39,20,2,0,0
S01008709,299,73,87,68,49,18,3,0,1
S01008710,208,78,44,41,24,17,4,0,0
S01008711,353,161,95,51,34,9,2,0,1
S01008712,499,220,147,66,33,19,6,3,5
S01008713,292,99,87,70,29,6,1,0,0
S01008714,297,135,108,28,12,13,1,0,0
S01008715,367,144,123,46,37,15,2,0,0
S01008716,295,148,87,31,19,8,1,0,1
S01008717,181,46,61,38,27,8,0,0,1
S01008718,222,61,84,40,26,9,2,0,0
S01008719,420,105,154,87,51,17,3,2,1
S01008720,243,80,98,36,24,4,0,0,1
S01008721,310,61,109,52,70,14,4,0,0
S01008722,480,156,190,49,60,18,6,0,1
S01008723,257,57,101,47,39,11,1,0,1
S01008724,400,120,137,57,67,14,4,1,0
S01008725,343,122,116,46,40,17,2,0,0
S01008726,241,70,79,41,33,15,3,0,0
S01008727,454,144,159,71,46,31,1,2,0
S01008728,229,76,57,43,36,14,2,1,0
S01008729,277,60,86,50,55,20,5,0,1
S01008730,411,186,130,45,41,7,1,0,1
S01008731,226,98,80,29,12,6,0,1,0
S01008732,340,179,103,28,14,11,5,0,0
S01008733,473,247,167,31,23,4,0,1,0
S01008734,266,100,88,39,27,9,3,0,0
S01008735,385,82,147,58,62,25,4,7,0
S01008736,290,80,92,47,42,19,6,2,2
S01008737,339,90,128,55,50,11,3,0,2
S01008738,299,67,112,48,51,16,3,0,2
S01008739,240,68,80,46,37,9,0,0,0
S01008740,227,49,93,45,27,9,1,1,2
S01008741,395,98,151,51,77,16,2,0,0
S01008742,280,156,74,29,18,2,0,0,1
S01008743,485,218,159,69,25,13,1,0,0
S01008744,519,214,155,85,49,14,1,1,0
S01008745,241,97,92,29,18,4,1,0,0
S01008746,572,268,194,53,39,17,1,0,0
S01008747,234,77,91,29,31,5,1,0,0
S01008748,283,64,120,50,37,8,3,1,0
S01008749,402,93,153,77,56,15,5,1,2
S01008750,313,90,132,40,35,11,4,0,1
S01008751,304,127,102,32,30,7,2,4,0
S01008752,459,231,146,65,16,1,0,0,0
S01008753,314,176,90,22,16,10,0,0,0
S01008754,362,193,129,26,12,1,0,0,1
S01008755,541,286,155,67,25,5,2,1,0
S01008756,418,231,120,39,20,8,0,0,0
S01008757,397,238,105,37,10,5,0,2,0
S01008758,444,205,146,58,26,7,1,1,0
S01008759,322,174,87,33,24,3,1,0,0
S01008760,500,253,133,58,38,13,4,1,0
S01008761,295,82,102,55,42,13,1,0,0
S01008762,301,109,116,42,30,3,1,0,0
S01008763,433,147,153,72,50,10,1,0,0
S01008764,306,92,98,56,47,9,3,1,0
S01008765,393,145,129,52,49,15,2,0,1
S01008766,413,103,143,74,71,17,3,1,1
S01008767,266,112,74,45,29,5,1,0,0
S01008768,256,117,81,34,17,2,4,1,0
S01008769,380,157,177,31,13,2,0,0,0
S01008770,431,160,168,71,19,9,3,1,0
S01008771,411,170,146,67,25,3,0,0,0
S01008772,395,175,123,57,29,8,2,1,0
S01008773,596,320,178,64,22,10,1,1,0
S01008774,495,241,159,61,23,7,2,1,1
S01008775,218,74,83,29,22,7,1,1,1
S01008776,467,243,152,47,17,5,3,0,0
S01008777,637,386,182,46,13,9,1,0,0
S01008778,664,349,227,74,9,5,0,0,0
S01008779,402,171,172,38,17,3,1,0,0
S01008780,329,150,129,30,15,5,0,0,0
S01008781,530,261,195,58,14,2,0,0,0
S01008782,400,172,144,54,25,3,2,0,0
S01008783,236,97,108,21,9,1,0,0,0
S01008784,268,132,104,26,6,0,0,0,0
S01008785,485,238,153,65,19,9,0,1,0
S01008786,540,269,204,53,12,2,0,0,0
S01008787,200,93,62,27,14,4,0,0,0
S01008788,376,151,160,49,9,6,1,0,0
S01008789,375,208,101,41,13,8,1,1,2
S01008790,353,183,105,39,18,7,0,1,0
S01008791,421,144,161,68,35,11,2,0,0
S01008792,415,191,146,43,24,5,4,1,1
S01008793,266,164,61,28,11,1,0,0,1
S01008794,492,241,176,46,20,8,1,0,0
S01008795,618,278,228,73,31,6,1,0,1
S01008796,622,330,174,63,33,18,1,2,1
S01008797,579,314,193,50,14,7,1,0,0
S01008798,502,289,162,35,15,1,0,0,0
S01008799,322,114,108,78,10,11,1,0,0
S01008800,651,362,216,53,18,2,0,0,0
S01008801,582,313,205,47,14,2,1,0,0
S01008802,614,343,211,49,9,2,0,0,0
S01008803,575,342,141,58,21,9,3,1,0
S01008804,332,190,96,33,11,2,0,0,0
S01008805,334,152,112,45,15,8,2,0,0
S01008806,558,250,210,52,37,9,0,0,0
S01008807,490,286,143,36,15,8,2,0,0
S01008808,391,198,140,34,15,1,3,0,0
S01008809,324,129,129,33,20,11,0,1,1
S01008810,383,162,139,51,18,11,1,1,0
S01008811,389,145,136,52,34,15,4,3,0
S01008812,260,120,91,31,15,2,1,0,0
S01008813,508,252,140,71,27,12,3,1,2
S01008814,403,148,151,48,37,16,2,1,0
S01008815,557,314,172,41,24,5,1,0,0
S01008816,321,176,114,16,10,1,2,2,0
S01008817,425,189,161,52,19,3,1,0,0
S01008818,371,124,144,59,35,8,1,0,0
S01008819,368,157,129,43,34,5,0,0,0
S01008820,616,315,181,75,30,7,5,1,2
S01008821,271,73,70,56,48,13,7,2,2
S01008822,286,74,97,40,49,18,6,1,1
S01008823,269,81,95,39,34,19,0,1,0
S01008824,510,232,161,65,48,4,0,0,0
S01008825,296,107,102,50,36,1,0,0,0
S01008826,378,204,112,33,22,7,0,0,0
S01008827,273,68,89,39,56,16,4,1,0
S01008828,439,177,140,72,42,7,1,0,0
S01008829,297,88,94,50,40,21,4,0,0
S01008830,334,138,101,42,42,11,0,0,0
S01008831,359,129,124,46,43,15,2,0,0
S01008832,350,140,134,36,25,12,0,3,0
S01008833,526,236,184,57,36,12,1,0,0
S01008834,519,200,174,80,45,14,3,2,1
S01008835,407,162,138,63,35,8,1,0,0
S01008836,413,251,102,34,17,6,1,2,0
S01008837,630,338,218,57,16,0,1,0,0
S01008838,606,324,205,46,22,8,0,0,1
S01008839,549,245,198,52,46,5,3,0,0
S01008840,510,189,173,84,45,13,2,3,1
S01008841,291,100,132,37,17,5,0,0,0
S01008842,433,140,199,43,41,9,1,0,0
S01008843,464,202,165,63,18,10,5,0,1
S01008844,355,131,144,50,26,2,2,0,0
S01008845,420,173,143,50,30,23,0,1,0
S01008846,386,154,128,59,24,16,3,0,2
S01008847,263,90,94,36,30,11,2,0,0
S01008848,384,159,142,28,41,11,2,1,0
S01008849,396,187,139,36,16,18,0,0,0
S01008850,401,159,141,49,34,16,1,0,1
S01008851,634,372,186,36,32,7,1,0,0
S01008852,503,202,197,41,45,15,3,0,0
S01008853,352,146,126,48,23,8,1,0,0
S01008854,483,226,149,61,35,11,1,0,0
S01008855,620,315,212,62,27,3,0,0,1
S01008856,296,118,123,29,19,7,0,0,0
S01008857,434,216,140,48,26,4,0,0,0
S01008858,328,177,106,25,13,6,1,0,0
S01008859,712,416,230,41,22,2,1,0,0
S01008860,500,246,172,48,25,6,3,0,0
S01008861,349,123,127,34,46,18,0,1,0
S01008862,561,318,190,36,14,3,0,0,0
S01008863,392,163,154,46,24,3,1,1,0
S01008864,410,212,131,31,27,8,1,0,0
S01008865,455,219,127,66,37,5,1,0,0
S01008866,467,237,170,28,25,5,2,0,0
S01008867,421,170,169,43,33,5,1,0,0
S01008868,391,180,141,33,24,9,4,0,0
S01008869,615,325,230,37,18,4,0,0,1
S01008870,426,187,180,33,21,3,2,0,0
S01008871,503,202,166,67,46,20,2,0,0
S01008872,401,151,144,47,35,18,3,2,1
S01008873,334,123,131,33,35,9,2,1,0
S01008874,514,277,165,50,19,3,0,0,0
S01008875,502,280,163,34,17,5,2,1,0
S01008876,291,130,77,41,36,6,1,0,0
S01008877,243,82,75,35,44,7,0,0,0
S01008878,459,173,179,59,42,5,1,0,0
S01008879,411,167,139,58,40,4,3,0,0
S01008880,291,116,94,43,29,8,1,0,0
S01008881,264,105,100,28,25,5,1,0,0
S01008882,401,113,136,51,74,23,2,1,1
S01008883,362,104,124,54,50,28,0,1,1
S01008884,316,98,125,36,39,14,4,0,0
S01008885,345,80,113,54,73,23,1,1,0
S01008886,425,197,138,42,39,7,0,2,0
S01008887,358,137,109,51,47,14,0,0,0
S01008888,373,212,116,32,13,0,0,0,0
S01008889,267,102,103,29,23,6,3,1,0
S01008890,308,75,133,44,42,11,2,0,1
S01008891,329,84,139,44,44,17,0,0,1
S01008892,533,265,169,45,39,13,2,0,0
S01008893,353,72,124,62,83,11,1,0,0
S01008894,337,64,131,54,62,24,2,0,0
S01008895,301,94,97,38,50,19,3,0,0
S01008896,208,36,70,37,48,15,2,0,0
S01008897,304,97,113,37,41,12,2,0,2
S01008898,331,55,136,52,60,22,5,1,0
S01008899,389,149,117,62,39,15,6,1,0
S01008900,415,138,122,80,57,15,1,0,2
S01008901,374,122,127,65,38,14,3,5,0
S01008902,485,193,140,86,51,14,0,1,0
S01008903,463,169,166,74,38,11,3,2,0
S01008904,431,137,111,88,51,27,8,9,0
S01008905,510,215,127,83,51,24,8,2,0
S01008906,386,171,95,60,37,14,9,0,0
S01008907,249,65,55,57,40,19,4,6,3
S01008908,421,137,156,66,41,13,4,3,1
S01008909,347,92,129,66,54,5,0,0,1
S01008910,211,70,67,36,28,8,2,0,0
S01008911,432,151,181,62,28,10,0,0,0
S01008912,333,88,115,66,50,10,2,2,0
S01008913,272,57,103,54,43,8,5,0,2
S01008914,398,132,141,65,43,16,0,1,0
S01008915,236,66,77,39,42,8,4,0,0
S01008916,593,302,160,79,37,13,1,1,0
S01008917,379,199,103,46,20,8,3,0,0
S01008918,293,130,81,48,24,9,0,1,0
S01008919,264,112,69,53,20,6,3,1,0
S01008920,586,235,247,75,25,3,1,0,0
S01008921,375,170,99,60,28,13,5,0,0
S01008922,400,173,122,59,40,5,1,0,0
S01008923,394,182,114,64,26,5,3,0,0
S01008924,372,100,100,78,54,24,9,2,5
S01008925,266,58,85,57,43,19,3,1,0
S01008926,242,55,84,52,34,11,5,1,0
S01008927,416,159,158,75,21,3,0,0,0
S01008928,298,96,124,52,21,5,0,0,0
S01008929,475,303,97,45,20,10,0,0,0
S01008930,427,173,122,68,43,11,6,3,1
S01008931,339,131,79,61,41,23,3,1,0
S01008932,404,127,150,77,32,14,1,2,1
S01008933,289,92,84,59,30,16,7,1,0
S01008934,354,135,105,44,45,22,1,0,2
S01008935,377,96,145,62,52,19,3,0,0
S01008936,157,35,54,28,31,8,1,0,0
S01008937,424,195,124,52,37,13,2,1,0
S01008938,285,57,99,56,45,23,3,2,0
S01008939,323,73,125,57,55,12,0,1,0
S01008940,255,47,125,19,43,17,3,1,0
S01008941,350,87,124,49,59,23,8,0,0
S01008942,333,125,106,40,43,16,3,0,0
S01008943,340,79,141,41,55,22,2,0,0
S01008944,429,113,179,45,59,29,3,0,1
S01008945,299,48,128,40,67,12,0,3,1
S01008946,397,113,162,50,47,18,4,2,1
S01008947,449,124,161,72,71,12,6,3,0
S01008948,285,71,98,54,44,15,2,1,0
S01008949,393,121,116,75,67,10,3,0,1
S01008950,420,153,122,67,61,13,3,0,1
S01008951,435,193,149,53,30,9,0,1,0
S01008952,421,193,130,49,42,7,0,0,0
S01008953,424,158,140,62,44,18,1,1,0
S01008954,434,211,113,55,41,11,3,0,0
S01008955,282,91,98,38,45,4,6,0,0
S01008956,406,147,132,64,48,10,2,3,0
S01008957,429,133,149,64,48,19,12,4,0
S01008958,404,228,92,39,33,11,1,0,0
S01008959,380,129,128,46,54,18,5,0,0
S01008960,328,62,96,62,78,22,4,3,1
S01008961,319,99,119,49,34,14,3,1,0
S01008962,275,72,112,52,31,8,0,0,0
