,Aged 4 years and under,Aged 75 and above,lone parent with dependent childern,Non-white,unpaid care 20h+,Detached,Semi-detached,Terraced,Flat,Shared house,Owned: Owns outright,Owns with a mortgage or loan or shared ownership,Social rented,Private rented,Entry-level education and below,Economically active: Employee: Part-time,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Unemploy,Elementary occupations,English not as main language,large household size >5 people,under occupancy,No central heating,Electric only
S01009610,4.3,10.9,3.5,1.2,4.6,25.0,22.9,16.4,35.4,0.2,35.4,35.0,17.6,8.4,53.4,14.5,20.6,3.4,1.5,5.5,9.0,12.7,1.5,0.4,65.0,0.6,4.2
S01009611,3.4,11.3,1.5,0.2,3.7,70.9,21.3,6.5,0.9,0.0,45.0,33.5,3.2,14.7,43.0,15.7,19.1,2.9,2.2,3.9,2.7,9.2,1.0,0.5,89.9,1.4,4.6
S01009612,5.4,10.0,3.2,0.2,5.0,16.4,24.6,32.9,25.7,0.0,29.8,37.5,26.1,4.0,56.1,14.5,13.8,3.6,2.4,5.3,6.7,13.2,2.6,0.7,67.3,0.7,3.3
S01009613,3.4,7.8,0.6,6.5,3.0,53.0,22.4,18.6,1.6,4.4,42.0,47.5,1.1,6.6,44.2,15.5,17.2,1.1,0.8,2.3,5.6,3.4,0.7,1.7,87.8,0.6,1.1
S01009614,2.9,11.6,1.4,0.0,7.6,49.6,18.9,18.9,12.3,0.0,41.7,33.2,4.9,16.1,53.0,13.9,21.1,1.5,2.1,2.3,7.0,10.2,1.2,1.3,83.4,1.3,3.1
S01009615,3.8,14.8,1.8,0.0,3.3,46.1,24.2,15.7,12.9,1.1,48.3,35.6,12.6,2.3,59.3,15.8,29.0,4.0,1.0,4.3,4.6,12.9,2.3,0.6,79.9,0.6,0.0
S01009616,4.3,6.8,3.3,1.5,4.1,29.0,31.4,9.3,26.9,2.4,30.2,39.5,19.1,9.6,55.6,14.4,15.4,4.3,2.8,4.6,12.8,9.8,1.7,0.9,69.4,0.9,1.9
S01009617,3.8,7.5,1.2,2.5,4.7,55.1,21.3,8.0,13.7,1.9,34.7,54.5,2.0,7.7,49.4,15.7,16.2,4.0,2.5,3.5,3.9,10.0,1.4,1.0,80.5,1.7,2.4
S01009618,5.1,8.2,4.7,0.3,4.8,9.0,24.9,27.6,36.6,1.9,24.6,35.1,22.8,16.5,64.3,15.0,17.0,2.1,3.6,8.1,12.7,13.8,2.1,0.3,64.0,0.6,4.2
S01009619,5.1,12.6,4.2,1.0,5.5,6.1,32.0,19.7,39.8,0.6,26.2,26.5,37.4,8.9,62.9,13.6,18.5,5.0,4.1,8.2,17.5,11.0,4.2,0.3,56.3,0.7,1.7
S01009620,5.3,11.0,4.3,2.1,5.9,3.5,39.2,5.4,51.1,0.7,23.5,22.5,44.8,6.9,70.5,14.4,19.5,4.4,5.4,6.8,14.4,15.2,2.1,1.3,65.5,0.0,1.8
S01009621,5.7,10.4,4.0,2.6,4.4,9.1,30.8,19.7,35.8,4.0,27.9,28.2,26.6,14.0,63.7,14.0,18.8,2.2,3.7,9.3,13.0,9.5,2.4,1.5,60.2,1.5,5.1
S01009622,7.2,5.8,5.6,0.4,3.7,4.3,11.9,9.1,69.3,4.3,16.8,16.2,55.3,9.9,71.0,12.7,13.4,3.0,5.6,10.6,24.6,17.5,4.0,1.0,51.5,0.5,2.5
S01009623,4.2,10.0,6.1,1.8,5.3,5.1,31.4,23.9,37.6,0.8,29.2,25.5,36.6,4.9,66.1,13.8,18.3,4.8,5.9,8.7,8.5,14.1,3.7,0.0,65.0,1.2,0.8
S01009624,5.3,8.9,5.0,1.8,4.9,5.4,32.0,52.1,9.6,0.2,29.9,29.7,34.8,4.2,71.2,15.0,20.4,5.8,2.8,7.0,13.8,18.3,3.5,1.0,64.0,1.2,1.7
S01009625,7.5,5.7,4.8,0.8,5.4,2.6,40.6,52.6,4.1,0.3,22.5,33.1,35.4,6.6,74.6,17.9,12.6,3.7,5.1,6.6,16.8,19.8,1.4,0.5,71.2,0.5,1.9
S01009626,7.1,7.1,6.7,2.0,8.0,4.1,63.1,14.3,15.2,1.2,27.3,16.0,53.2,2.2,74.3,14.6,16.7,5.4,9.0,11.1,20.8,20.0,3.5,3.5,63.6,1.7,0.9
S01009627,6.0,6.4,4.8,0.6,7.0,3.7,51.3,19.8,25.2,0.0,27.5,29.5,36.3,2.9,71.8,16.9,16.2,3.9,5.8,7.8,14.7,13.8,1.6,3.5,70.5,0.3,1.8
S01009628,3.5,28.3,2.9,1.2,7.3,27.9,31.9,33.0,6.5,0.4,26.0,19.6,50.2,1.9,81.0,12.7,35.3,4.0,1.4,8.2,10.5,25.8,3.9,0.0,68.7,0.0,1.9
S01009629,5.9,6.3,5.6,0.6,6.4,4.9,45.4,31.3,18.1,0.0,25.7,34.9,28.5,9.4,67.4,16.1,12.9,5.2,5.9,7.9,17.6,16.0,2.7,1.6,64.1,0.2,0.9
S01009630,5.9,5.8,7.2,0.7,5.2,2.9,44.3,30.9,22.0,0.0,18.4,23.9,50.4,5.0,73.3,14.8,12.9,6.5,5.2,9.6,24.6,17.2,3.6,1.2,62.4,0.6,1.7
S01009631,3.1,6.9,4.0,1.0,3.7,3.7,9.1,23.1,59.0,1.6,13.3,12.1,55.2,17.7,74.8,12.5,16.7,2.0,4.6,13.1,19.3,21.2,3.8,0.7,53.0,0.7,37.4
S01009632,5.1,10.9,9.1,2.7,4.7,6.5,14.7,2.6,67.6,3.5,15.4,16.0,52.0,15.0,80.1,14.0,13.2,2.5,8.6,11.4,24.1,24.0,3.2,0.3,51.3,0.3,4.6
S01009633,9.8,5.2,7.0,0.9,8.2,5.4,12.1,4.8,76.7,0.3,17.2,19.9,53.5,7.4,72.1,18.4,12.7,5.9,7.4,7.6,26.2,26.7,2.8,3.0,63.6,1.0,2.7
S01009634,4.2,22.5,3.8,0.6,6.2,3.7,30.0,32.6,33.7,0.0,29.6,20.2,44.3,5.5,80.0,13.0,26.2,2.5,4.7,8.8,19.3,21.2,3.9,0.8,59.3,0.8,5.1
S01009635,4.6,9.6,3.2,1.7,5.0,3.6,20.9,43.5,29.3,1.8,28.3,32.1,28.7,8.7,63.5,15.4,17.0,3.8,4.3,7.0,12.4,15.6,2.2,1.0,66.7,0.2,1.4
S01009636,4.4,6.7,7.7,1.2,5.1,3.3,8.0,7.0,80.1,1.4,18.8,22.8,33.2,23.0,73.8,11.8,13.1,3.6,7.2,10.2,32.2,18.2,4.2,0.6,51.4,1.7,3.3
S01009637,3.8,12.7,4.5,2.7,3.1,6.4,32.3,13.0,41.7,1.9,24.1,35.6,28.8,10.3,64.1,15.1,13.1,4.2,6.4,6.2,12.4,12.7,2.1,1.5,62.9,0.9,8.2
S01009638,7.4,4.1,6.7,0.8,7.2,10.0,30.9,6.6,52.5,0.0,18.8,22.6,50.7,6.8,68.8,11.5,14.4,6.0,9.1,8.4,22.6,17.0,2.5,5.8,61.3,0.0,0.3
S01009639,1.9,21.5,2.0,2.1,3.8,27.4,44.4,6.0,15.1,5.7,55.4,36.3,2.8,4.0,46.4,12.3,23.9,5.5,1.4,3.0,9.1,8.0,1.6,0.9,89.2,0.6,3.7
S01009640,3.6,14.3,5.1,2.4,4.6,2.1,26.5,1.8,69.1,0.5,22.6,18.2,45.5,11.0,66.0,13.1,20.0,5.0,2.1,13.8,8.6,11.7,3.5,0.3,49.0,0.6,5.2
S01009641,2.4,19.9,4.4,2.3,4.0,6.1,18.5,16.0,55.7,2.5,26.7,21.9,32.4,14.6,61.3,12.4,20.6,1.6,2.8,9.2,14.4,14.2,2.1,0.4,53.4,1.3,13.2
S01009642,5.0,8.7,2.7,3.1,3.7,8.9,15.1,13.2,55.0,3.8,27.4,32.6,19.9,16.0,50.3,13.9,14.9,3.0,2.7,5.5,10.5,9.3,0.9,0.4,67.8,1.0,6.2
S01009643,9.1,3.3,2.2,2.4,4.8,49.6,32.0,3.9,14.5,0.0,16.1,68.8,11.5,2.3,47.5,20.0,6.7,2.9,2.1,1.7,5.3,8.2,0.7,0.5,84.9,0.0,0.9
S01009644,5.5,9.4,3.8,0.9,5.9,23.8,24.9,41.1,9.9,0.3,28.6,38.9,27.4,3.5,66.9,16.1,19.9,4.3,3.6,6.6,12.1,11.7,2.9,0.9,76.4,0.6,1.5
S01009645,4.6,11.8,4.0,1.5,6.2,7.4,38.3,15.8,37.9,0.6,28.2,31.6,30.2,6.0,63.0,17.3,20.0,4.2,4.6,5.7,10.8,14.1,2.1,1.0,60.5,0.3,2.7
S01009646,7.4,10.5,4.2,0.7,7.0,5.1,48.0,29.1,17.3,0.0,29.9,35.2,30.3,3.3,66.7,13.0,17.9,5.1,4.7,6.5,14.4,13.1,2.3,2.0,74.6,0.4,4.5
S01009647,5.6,14.3,6.2,0.5,3.7,7.9,18.2,5.6,67.4,0.9,29.2,18.9,42.1,6.9,64.5,14.2,20.0,5.0,3.1,7.3,16.7,11.7,1.9,0.0,62.6,0.0,4.1
S01009648,6.6,9.4,2.9,0.1,5.5,5.0,52.4,30.4,10.2,2.0,30.7,34.3,28.9,5.3,65.4,14.5,19.0,4.5,3.2,4.6,13.7,13.3,1.8,0.3,71.6,1.5,2.3
S01009649,5.8,8.6,3.4,0.4,5.8,28.8,27.3,17.3,26.4,0.2,26.6,38.1,31.5,3.1,56.9,12.4,18.4,3.2,4.7,7.9,11.5,10.1,2.0,0.7,74.3,0.9,6.7
S01009650,2.5,19.4,0.4,1.8,3.1,61.3,32.2,2.3,2.8,1.1,62.1,32.7,2.3,1.5,42.9,11.2,31.9,2.7,0.9,1.8,1.8,9.0,1.0,0.0,92.1,0.6,2.0
S01009651,4.1,10.7,2.1,1.1,4.2,47.0,27.1,15.3,5.5,3.9,43.1,25.8,13.3,13.8,39.2,13.2,21.3,2.9,2.8,3.8,7.2,9.7,2.2,1.4,79.2,2.1,4.7
S01009652,1.0,24.8,1.7,1.7,5.1,27.1,27.5,19.0,15.8,10.0,59.9,26.8,2.3,7.8,33.5,14.1,30.3,4.1,1.9,2.6,4.6,6.4,1.7,0.5,87.7,0.5,5.3
S01009653,2.3,14.4,1.5,1.1,5.1,63.0,26.3,3.7,4.9,2.1,49.8,42.8,2.2,4.4,36.4,15.9,19.8,3.6,2.3,1.5,3.6,5.1,1.3,0.0,93.0,1.3,1.7
S01009654,4.2,9.7,2.6,2.1,5.1,22.3,26.4,22.9,20.7,6.3,48.2,27.7,13.5,7.7,42.9,14.2,23.8,4.9,2.7,3.9,7.4,13.8,2.7,1.5,80.7,1.1,3.3
S01009655,3.9,8.7,4.8,0.6,6.4,3.1,68.8,27.0,1.1,0.0,24.8,30.5,39.6,3.1,73.2,14.7,18.1,4.4,3.4,8.6,17.3,21.8,5.0,0.9,68.7,0.0,1.4
S01009656,4.9,12.4,3.6,0.7,6.9,6.7,47.8,11.6,33.3,0.5,24.0,19.4,49.4,4.1,78.3,11.0,24.4,2.1,6.6,11.2,19.3,16.4,3.0,1.0,64.9,0.5,8.8
S01009657,4.5,10.3,0.9,3.4,4.3,31.4,40.8,8.2,15.0,0.9,33.1,38.0,23.8,3.6,53.0,14.2,15.5,4.5,3.5,5.0,12.4,10.0,2.0,0.9,79.2,0.9,2.4
S01009658,5.1,5.0,4.6,0.1,5.4,9.8,25.3,60.3,4.4,0.0,23.4,37.1,34.3,4.5,69.5,18.3,11.0,2.6,5.6,8.0,11.6,16.3,1.8,2.1,70.3,0.0,1.7
S01009659,5.1,9.6,2.3,0.2,6.2,23.4,27.0,19.0,26.6,2.8,26.1,34.3,34.3,2.6,58.6,14.3,18.5,4.4,2.3,5.2,19.0,13.2,1.5,0.9,68.7,0.0,1.3
S01009660,4.5,6.2,4.4,2.6,6.3,36.6,23.8,37.1,2.5,0.0,23.0,38.1,35.3,2.6,59.5,13.1,14.7,3.9,6.5,7.7,10.9,12.2,1.9,1.6,71.9,0.0,2.1
S01009661,2.5,11.6,1.1,2.3,3.2,68.3,19.4,7.7,0.3,0.6,47.4,35.6,0.6,11.2,39.3,14.5,17.5,4.5,3.0,2.7,3.8,7.9,1.0,1.2,91.2,3.0,3.9
S01009662,3.6,10.3,2.5,0.8,3.5,39.7,37.0,16.3,5.3,1.0,38.0,41.4,12.3,5.5,46.6,13.0,18.8,4.0,1.6,2.4,10.5,12.1,0.9,0.3,80.8,1.7,3.4
S01009663,3.5,7.4,3.4,0.0,4.2,43.1,27.6,18.5,8.4,0.7,36.7,35.2,16.0,10.3,37.3,12.0,19.5,5.9,2.6,3.5,6.9,8.7,0.3,0.4,76.2,1.8,7.5
S01009664,2.4,12.7,1.2,0.4,3.2,32.9,26.7,27.5,4.5,0.2,38.2,36.3,6.6,13.8,40.3,13.8,19.3,2.5,3.1,2.3,9.2,7.3,2.8,1.1,78.5,3.7,19.1
S01009665,2.8,11.1,3.0,1.1,2.9,27.9,33.0,17.2,20.5,1.3,37.2,33.1,21.2,5.5,51.0,13.1,19.4,2.9,2.9,2.9,9.7,12.0,1.6,0.3,66.2,0.7,5.1
S01009666,3.0,14.5,1.8,1.5,5.4,31.5,23.9,12.8,25.9,3.4,32.5,34.5,17.0,13.5,48.8,11.6,19.3,4.1,3.9,3.4,6.8,7.2,2.0,1.8,71.3,0.6,12.3
S01009667,4.1,10.9,1.0,1.5,4.2,60.0,26.4,8.5,4.3,0.0,48.0,38.1,6.7,3.1,35.7,13.0,21.9,2.3,2.3,2.3,1.0,9.0,0.8,0.4,89.2,0.9,3.1
S01009668,2.8,8.0,2.4,1.7,2.4,35.7,19.4,21.3,20.2,3.1,36.6,50.2,2.9,8.2,37.4,13.1,13.8,3.1,3.6,1.0,6.4,8.4,0.9,0.8,81.5,0.4,2.9
S01009669,3.7,16.2,1.6,1.4,5.0,37.5,35.9,24.6,1.6,0.4,50.4,30.8,7.9,8.3,47.0,10.2,26.0,2.8,2.2,2.2,6.1,7.4,1.4,0.4,83.3,1.2,5.4
S01009670,3.7,15.4,3.7,0.5,4.5,38.3,29.1,18.2,13.4,0.8,34.1,36.8,19.4,6.2,42.4,13.7,16.0,6.1,2.7,2.4,7.5,8.6,1.1,0.6,74.4,1.8,4.1
S01009671,3.8,9.4,3.2,1.0,2.9,40.5,30.1,21.1,5.9,1.7,29.4,40.1,6.9,17.6,34.7,12.6,14.2,6.2,2.7,1.6,7.2,9.4,1.0,2.3,84.0,0.8,2.3
S01009672,4.6,12.3,2.4,1.7,5.1,22.1,34.3,34.5,7.2,1.9,23.4,33.0,35.5,6.5,53.5,16.2,14.8,1.4,4.3,6.7,11.2,13.1,2.3,2.5,67.3,0.3,5.4
S01009673,3.3,14.2,1.9,1.4,4.1,30.1,23.0,21.1,19.0,4.1,34.2,41.0,13.7,9.1,49.4,12.0,19.7,3.2,2.9,4.6,7.5,9.8,2.0,0.9,79.5,2.6,5.4
S01009674,3.2,10.3,2.4,0.1,3.8,46.8,27.4,16.5,7.8,1.2,41.1,34.2,9.4,11.5,41.9,12.7,20.3,3.5,3.5,1.7,7.2,6.1,1.1,1.3,83.7,1.0,5.9
S01009675,3.2,10.1,1.8,1.8,4.4,39.8,38.3,13.8,6.5,1.5,39.8,39.3,9.2,8.4,41.6,13.8,18.6,4.5,2.5,2.9,7.6,9.1,1.0,0.3,82.1,1.6,4.0
S01009676,3.8,9.8,2.2,0.8,2.8,32.7,36.6,15.4,10.7,2.9,33.1,34.8,15.4,10.1,48.0,16.6,16.6,2.6,3.8,2.2,4.8,7.1,3.0,2.2,76.1,1.4,11.0
S01009677,4.0,10.3,1.4,1.2,2.9,57.5,24.9,14.0,2.5,0.7,39.9,32.8,7.1,16.8,34.5,13.9,16.1,3.6,4.3,2.7,5.6,4.9,2.4,1.1,85.1,4.9,13.4
S01009678,3.4,13.8,2.9,1.4,4.9,20.2,35.5,30.9,12.4,0.4,41.8,30.4,16.8,9.2,55.4,13.3,20.8,3.2,2.9,2.9,3.6,13.6,1.9,1.1,80.6,2.6,7.0
S01009679,3.0,12.8,2.8,1.7,2.8,21.9,18.6,20.0,28.6,7.7,27.9,28.6,27.6,13.8,58.4,13.3,18.0,3.3,1.6,5.9,8.6,11.1,1.7,0.0,62.7,1.8,9.7
S01009680,4.2,10.2,3.4,0.5,2.7,24.7,20.6,30.6,19.8,4.1,29.2,35.1,21.9,10.7,54.3,15.3,16.7,3.6,3.6,3.0,11.1,12.7,1.8,0.3,69.1,3.1,7.9
S01009681,4.4,5.3,1.9,1.3,2.6,30.1,32.9,30.9,3.6,1.6,24.5,47.8,18.4,5.3,52.5,12.8,12.3,3.4,2.5,15.7,5.3,16.9,1.8,2.0,79.6,0.8,8.2
S01009682,4.4,11.8,2.2,1.8,3.5,46.4,30.6,6.1,15.1,1.8,38.8,40.3,6.1,12.2,31.3,16.2,23.8,2.2,2.6,1.5,5.0,6.9,1.7,1.1,87.4,0.4,3.2
S01009683,3.6,23.1,1.3,3.5,3.8,36.9,29.3,12.5,17.9,3.3,44.5,33.5,11.0,8.2,36.8,12.2,20.2,9.9,2.1,2.6,4.3,8.0,1.9,0.3,78.3,0.5,12.6
S01009684,4.2,5.7,1.8,1.4,2.8,60.3,18.7,12.7,1.7,1.9,34.2,42.8,5.1,14.4,32.1,12.7,13.5,5.5,3.4,2.4,6.1,8.0,0.4,2.0,85.8,3.8,7.8
S01009685,4.6,11.3,1.7,0.9,4.8,26.7,42.9,25.6,4.0,0.7,23.9,32.6,29.9,10.6,47.4,13.5,19.4,4.1,3.7,4.8,9.0,13.8,1.1,1.1,67.0,0.4,7.6
S01009686,3.0,9.0,5.0,2.9,3.7,17.2,17.0,24.4,25.8,8.8,17.6,29.2,29.4,20.8,45.6,13.6,13.2,6.6,4.2,3.9,8.6,13.5,1.6,1.1,58.8,1.8,13.2
S01009687,2.7,8.4,2.5,0.6,2.6,26.3,56.6,11.5,4.3,1.3,28.1,39.5,14.7,7.4,45.5,15.5,14.9,4.0,3.4,4.2,12.2,14.7,0.9,1.0,72.2,0.7,4.3
S01009688,6.6,7.2,7.9,2.1,4.8,3.9,19.2,13.6,63.1,0.2,13.2,16.7,60.3,7.9,58.2,14.2,12.3,5.5,6.0,7.5,17.6,20.6,3.2,0.9,51.8,2.0,14.0
S01009689,5.2,6.8,3.5,6.0,2.3,11.5,14.3,17.1,41.0,8.1,21.9,25.5,24.0,25.8,39.9,11.3,10.2,7.5,2.2,4.0,10.0,16.7,2.4,0.3,53.2,3.9,19.8
S01009690,3.7,7.7,3.5,2.3,3.5,11.6,26.0,35.7,18.0,6.4,23.9,37.5,20.7,16.1,41.3,12.2,13.2,4.7,4.3,3.6,12.1,10.7,1.7,2.3,67.1,3.2,11.5
S01009691,1.5,17.7,2.5,2.5,2.9,40.7,20.4,12.4,23.3,2.9,53.5,36.9,1.5,5.0,38.8,13.0,20.3,5.0,1.9,0.9,6.8,8.2,2.0,1.9,76.2,1.5,18.8
S01009692,3.8,18.8,1.2,0.6,3.0,45.5,43.3,4.0,5.0,0.6,54.5,30.4,4.3,7.9,44.4,13.7,28.4,2.7,1.9,1.6,7.3,10.0,2.0,0.8,87.4,1.7,3.9
S01009693,4.3,11.8,1.6,0.5,4.1,50.8,46.2,1.9,0.8,0.0,51.2,36.5,3.6,5.2,33.9,15.4,20.0,4.3,3.0,2.0,7.4,8.3,0.8,1.2,91.7,0.8,1.6
S01009694,2.3,26.2,1.2,0.9,5.1,62.3,28.9,3.3,4.3,1.3,53.6,33.3,4.0,5.5,40.5,14.4,27.7,3.3,2.3,2.0,2.3,9.6,1.6,0.7,90.3,0.0,3.1
S01009695,2.9,11.2,2.6,0.8,3.5,55.7,20.8,16.4,4.4,2.0,46.0,32.4,7.2,9.7,36.5,12.3,23.1,2.2,3.5,1.7,5.8,8.8,1.6,0.0,88.8,1.8,17.6
S01009696,4.0,14.3,1.7,0.3,2.8,46.8,30.7,19.2,1.5,1.5,41.8,34.1,9.5,8.8,34.8,13.5,20.3,3.3,2.1,3.3,6.3,5.9,0.5,0.7,84.7,1.1,18.7
S01009697,2.0,12.9,0.6,0.9,3.4,47.0,26.0,24.9,0.9,1.2,40.1,36.0,10.5,10.5,32.9,11.2,18.7,3.4,3.4,3.4,5.0,8.0,1.5,1.3,81.5,3.2,14.0
S01009698,4.5,6.7,1.6,1.0,3.3,60.9,25.2,11.2,1.9,0.8,40.9,27.6,1.3,25.0,31.3,10.7,15.3,6.3,3.7,3.5,3.7,12.1,1.2,1.7,84.9,4.7,8.2
S01009699,1.3,21.3,0.9,0.9,4.7,26.4,39.7,18.0,8.4,7.6,56.4,17.8,11.0,10.6,37.1,11.8,31.2,2.4,3.9,4.5,6.7,10.7,2.0,1.3,83.1,2.1,11.4
S01009700,3.8,10.7,2.2,0.9,5.2,31.3,30.4,25.9,9.3,2.7,34.3,27.6,14.1,18.2,46.1,12.3,19.9,5.5,4.9,2.5,6.6,14.6,1.9,1.0,75.1,2.0,13.8
S01009701,1.2,31.3,1.3,1.3,4.0,22.0,19.0,36.5,11.2,11.2,55.5,17.0,19.7,3.9,39.5,9.1,32.2,3.5,3.5,3.1,3.5,7.2,1.8,0.9,77.3,1.7,11.8
S01009702,4.4,10.9,2.4,1.7,1.4,58.3,28.6,10.2,2.1,0.7,37.7,27.5,11.7,16.2,35.3,12.1,16.9,5.3,2.8,3.6,5.1,12.0,1.0,1.5,86.8,2.3,18.1
S01009703,3.1,10.2,3.0,0.9,6.3,17.5,37.6,20.7,19.3,4.6,37.5,26.3,29.1,4.2,52.2,15.0,21.7,2.9,3.6,5.6,5.1,14.0,1.8,0.4,75.1,1.8,11.9
S01009704,3.5,14.5,3.1,0.8,2.7,28.9,27.4,27.4,10.3,5.1,49.1,25.9,12.7,10.2,43.5,14.6,22.9,3.4,3.0,2.5,4.5,10.7,1.3,0.5,79.5,2.5,7.0
S01009705,4.8,10.8,2.9,1.5,4.4,9.1,27.2,33.9,26.1,2.7,34.4,25.3,31.1,6.6,56.8,15.1,16.9,2.2,3.6,5.3,10.9,10.4,2.1,0.8,63.1,0.8,12.1
S01009706,3.7,13.5,2.2,0.5,4.2,18.2,27.5,28.6,17.6,7.6,36.6,26.8,18.6,14.2,47.0,12.0,16.6,3.9,3.2,5.2,9.3,9.4,1.5,0.7,76.3,1.7,4.4
S01009707,3.6,6.8,1.5,2.1,2.5,11.8,15.6,54.3,7.3,10.0,38.1,37.2,0.5,17.4,37.6,12.3,13.1,4.5,2.8,3.3,9.2,8.6,1.9,0.0,80.7,4.6,3.7
S01009708,5.7,10.7,2.0,0.7,6.7,22.4,37.4,26.2,10.0,3.7,41.1,33.3,16.3,7.8,48.0,14.0,25.1,3.6,2.9,2.5,5.9,10.2,3.0,0.0,79.1,1.2,14.7
S01009709,2.7,17.6,1.9,2.0,3.1,18.2,34.4,27.2,13.2,5.3,40.6,30.5,15.0,11.9,50.1,15.5,27.0,2.6,1.9,3.1,8.9,12.5,3.0,0.8,79.4,3.0,8.4
S01009710,7.7,7.7,3.4,3.4,2.5,35.4,25.4,17.2,15.3,4.5,29.3,39.4,18.3,11.4,43.2,16.3,13.3,3.7,3.7,3.9,9.6,9.6,0.7,2.0,76.8,0.4,4.5
S01009711,3.3,17.1,3.8,2.4,6.0,12.5,26.1,14.8,37.6,6.4,28.4,27.6,32.0,8.5,55.8,13.7,15.8,4.2,3.5,6.2,8.9,13.6,1.7,1.8,66.9,2.6,15.8
S01009712,3.9,9.8,2.2,1.9,4.7,35.8,31.0,25.8,7.1,0.0,42.6,27.8,10.5,13.0,43.6,13.8,23.5,3.7,4.4,3.9,9.0,11.2,1.9,1.1,80.5,2.9,8.7
S01009713,3.6,14.7,2.5,0.4,3.4,28.0,22.6,28.8,13.0,5.9,43.9,22.5,15.8,14.6,42.6,11.5,28.6,4.1,1.7,3.4,8.9,13.0,1.4,0.9,77.5,2.0,9.7
S01009714,4.1,15.1,1.8,1.2,3.3,33.4,23.3,24.7,12.3,5.1,51.9,24.9,10.4,10.2,36.5,10.6,28.7,2.6,3.2,1.8,6.8,9.1,1.3,0.7,84.1,1.5,5.7
S01009715,3.5,9.6,1.7,2.4,3.6,36.7,29.8,27.5,2.7,2.5,39.2,18.3,9.9,23.7,32.1,8.8,20.6,4.4,4.8,2.6,5.6,12.8,1.0,0.6,78.4,7.2,29.3
S01009716,2.3,12.8,0.7,3.6,2.9,47.7,39.9,9.5,2.6,0.3,49.8,24.3,7.6,14.6,30.9,11.1,20.5,17.7,3.0,2.3,3.2,11.3,1.3,0.9,86.9,0.0,7.0
S01009717,1.7,6.0,2.6,9.8,2.0,8.2,29.3,12.7,44.4,5.4,21.1,16.5,35.2,23.9,32.4,7.3,8.7,43.4,1.6,3.5,4.8,25.2,0.6,1.2,52.3,0.0,5.2
S01009718,2.6,7.0,4.4,3.0,3.6,3.3,33.5,32.3,27.9,2.4,30.3,19.9,32.4,15.0,47.1,14.9,11.9,17.4,3.9,3.6,9.4,26.6,0.4,0.6,59.9,0.6,8.9
S01009719,3.5,7.6,2.8,5.8,3.5,5.2,33.9,48.3,12.6,0.0,31.3,22.8,33.0,10.2,53.8,15.8,16.1,11.6,2.6,3.7,7.4,23.2,2.6,0.0,62.3,1.2,21.1
S01009720,3.2,12.0,1.9,4.9,3.0,5.7,33.8,52.6,7.2,0.8,26.6,20.6,31.1,18.7,50.4,14.1,18.2,15.2,2.1,3.8,4.3,23.5,3.8,1.1,62.8,0.0,11.1
S01009721,0.4,1.0,0.3,10.9,0.9,3.8,6.4,10.2,45.8,11.9,11.3,9.5,0.5,72.4,14.5,2.9,1.6,65.9,0.5,0.0,0.9,28.6,1.4,2.7,27.1,4.5,15.8
S01009722,0.5,7.0,0.2,9.1,0.9,7.0,8.4,22.2,41.6,18.1,25.3,7.8,10.1,52.5,24.5,2.5,6.4,61.5,0.2,1.4,0.5,25.7,0.4,0.8,49.4,2.6,19.9
S01009723,0.4,5.1,0.6,16.7,0.8,4.8,9.3,18.8,37.0,24.5,14.6,7.6,18.2,51.3,16.9,3.6,6.1,59.5,0.3,0.6,1.7,21.3,1.2,3.0,31.5,5.0,21.2
S01009724,2.3,5.6,2.9,6.9,2.2,4.2,15.9,3.8,70.7,5.4,13.1,11.3,37.2,36.2,41.2,8.5,10.9,30.4,1.4,5.5,6.2,24.4,2.1,0.6,35.6,2.0,7.9
S01009725,0.9,5.5,0.7,9.1,1.3,16.4,27.6,17.2,27.6,10.4,23.9,9.2,5.6,58.2,22.8,4.0,6.5,53.0,0.6,1.1,4.9,36.4,0.9,0.8,45.4,1.2,8.4
S01009726,0.1,5.0,0.1,9.7,0.4,5.2,11.7,17.7,25.4,36.3,20.1,11.5,4.8,57.4,21.8,1.2,2.6,67.2,0.1,0.4,1.2,28.6,0.2,3.3,42.1,4.8,8.6
S01009727,2.6,9.6,1.7,3.4,3.1,42.6,22.3,23.7,6.3,0.0,36.3,26.3,14.2,16.0,29.6,12.8,16.2,14.8,4.1,1.4,4.6,13.1,1.2,1.2,79.5,3.3,3.6
S01009728,2.9,9.3,1.7,5.0,2.5,58.7,36.9,1.7,2.0,0.6,53.8,34.5,2.1,8.1,25.0,12.6,22.6,6.8,2.1,1.6,4.1,8.5,1.7,0.0,90.4,0.9,4.2
S01009729,3.2,19.3,1.0,3.5,3.1,68.8,24.1,5.1,1.7,0.3,63.5,25.9,1.1,7.1,23.5,10.8,28.6,6.6,3.5,0.9,3.3,8.0,1.0,1.1,94.7,0.7,2.8
S01009730,3.0,21.1,2.4,6.9,2.1,17.7,46.8,5.6,28.6,0.8,36.9,29.9,13.7,17.0,35.9,15.4,12.8,17.0,1.2,2.6,8.3,16.4,1.2,0.8,66.4,0.8,11.2
