,Aged 4 years and under,Aged 75 and above,lone parent with dependent childern,Non-white,unpaid care 20h+,Detached,Semi-detached,Terraced,Flat,Shared house,Owned: Owns outright,Owns with a mortgage or loan or shared ownership,Social rented,Private rented,Entry-level education and below,Economically active: Employee: Part-time,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Unemploy,Elementary occupations,English not as main language,large household size >5 people,under occupancy,No central heating,Electric only
S01012637,7.1,7.4,5.1,0.9,5.5,7.3,32.8,3.6,55.7,0.3,17.8,22.7,52.9,5.2,71.8,14.7,14.5,4.1,6.2,8.0,18.1,14.5,2.1,0.3,70.1,0.8,63.3
S01012638,2.4,11.8,2.9,0.9,4.9,25.1,21.6,30.9,19.5,2.1,27.6,29.3,29.1,11.3,66.0,10.8,18.4,3.3,4.4,7.1,11.4,11.3,2.8,0.5,59.6,2.2,30.0
S01012639,4.3,8.4,3.4,0.2,4.7,16.9,46.8,26.7,9.3,0.0,23.3,36.4,35.6,3.6,68.2,14.4,16.8,3.4,3.7,5.0,12.1,13.8,2.3,0.3,66.4,0.8,33.9
S01012640,6.1,9.0,4.8,1.1,6.9,13.8,38.8,28.8,17.7,0.4,18.0,18.9,57.4,4.8,72.0,11.7,18.9,2.6,5.8,9.1,27.5,16.9,3.6,0.5,63.3,0.5,41.0
S01012641,4.7,27.6,3.5,2.1,5.1,25.5,19.5,15.9,38.4,1.9,31.6,24.8,26.7,14.3,63.8,13.6,20.5,2.8,2.8,5.5,15.2,13.1,2.5,0.2,60.5,0.4,43.8
S01012642,6.5,6.6,6.0,3.1,7.5,3.3,12.8,46.0,37.3,0.3,17.4,20.0,56.8,4.7,77.2,11.8,17.6,2.7,5.8,11.5,22.0,17.3,2.6,0.3,55.8,0.8,47.9
S01012643,4.2,7.5,4.9,1.7,5.5,6.5,26.0,61.5,4.5,0.5,26.1,35.2,29.6,6.5,68.8,13.6,18.0,2.9,4.7,5.9,15.9,15.8,1.8,0.0,71.4,1.5,6.5
S01012644,5.4,7.5,4.4,3.1,5.1,14.4,22.1,28.8,34.0,0.6,24.9,32.9,34.9,7.0,65.9,16.8,14.7,2.5,5.7,7.3,9.6,10.3,3.6,2.0,66.8,0.3,4.7
S01012645,2.7,12.6,1.5,3.1,2.7,34.5,24.8,13.3,23.0,1.3,29.1,32.3,25.8,10.1,58.8,14.1,17.0,2.8,3.5,4.9,9.4,6.8,1.2,0.5,65.2,1.1,19.3
S01012646,4.0,8.4,1.6,2.0,4.7,51.2,29.1,5.0,14.5,0.2,29.6,50.4,11.1,6.7,52.1,13.2,15.9,3.1,2.7,3.4,5.0,8.9,1.1,1.2,81.0,0.5,6.2
S01012647,4.5,1.4,2.7,3.3,3.5,44.9,44.2,9.8,1.1,0.0,10.0,77.7,1.1,9.3,33.5,10.9,4.6,2.7,4.0,3.0,7.0,5.2,2.1,1.1,89.2,0.7,0.7
S01012648,5.0,8.8,5.4,0.0,5.6,6.0,7.7,84.6,1.7,0.0,20.5,31.9,41.0,5.2,71.5,12.9,17.5,4.9,4.9,6.6,14.8,12.6,2.5,2.2,64.2,1.7,55.0
S01012649,6.6,10.3,4.2,1.5,2.2,35.5,30.8,14.3,18.7,0.7,35.2,33.0,28.1,2.6,57.5,15.4,13.7,3.0,2.8,5.9,9.9,10.8,3.0,0.4,71.2,2.2,24.3
S01012650,3.8,10.1,1.7,1.9,5.5,43.0,38.4,7.4,10.6,0.4,32.7,45.5,12.0,7.5,52.3,12.4,18.9,2.8,2.4,5.4,5.4,8.6,2.6,1.1,75.9,6.4,17.3
S01012651,4.3,10.8,5.4,0.6,5.1,6.1,22.8,51.2,19.3,0.6,15.9,26.3,53.2,3.7,74.8,16.7,18.2,1.7,4.2,8.9,16.9,15.3,4.4,0.9,57.5,0.9,43.4
S01012652,3.8,10.2,1.3,1.1,4.5,53.7,32.3,1.6,12.2,0.2,40.4,51.0,3.2,3.9,39.5,15.6,18.1,3.0,2.7,1.6,8.5,5.4,1.0,1.2,87.0,0.0,1.9
S01012653,6.3,3.7,4.3,0.8,5.5,34.5,12.8,50.9,1.8,0.0,22.0,33.6,37.7,6.1,63.9,12.5,10.0,3.9,4.8,9.5,18.6,11.5,0.8,1.9,71.3,4.1,33.9
S01012654,7.9,5.6,1.4,1.3,4.3,56.1,18.8,15.5,9.0,0.6,30.4,48.2,4.9,13.2,44.0,12.3,14.9,2.3,3.0,3.1,8.7,5.2,2.2,1.5,75.8,3.4,16.0
S01012655,5.7,11.8,3.1,0.6,5.8,31.1,23.2,10.2,33.2,0.0,26.7,39.2,28.9,4.0,67.2,11.5,18.3,2.3,3.3,8.6,10.3,11.8,4.0,0.9,62.3,0.7,8.8
S01012656,3.6,11.9,4.0,0.1,6.2,8.1,9.6,69.9,12.0,0.2,22.0,37.3,34.8,4.7,64.9,11.8,18.8,1.8,4.0,7.6,12.9,11.3,3.2,0.2,58.0,2.7,49.4
S01012657,5.1,11.6,4.6,0.7,5.5,6.5,41.5,14.4,37.5,0.0,25.7,35.3,24.6,11.8,65.7,14.4,19.0,4.3,4.8,5.6,7.6,11.9,2.7,0.4,56.6,1.1,35.7
S01012658,2.5,12.9,1.7,2.0,5.4,22.9,53.8,18.5,4.3,0.5,48.3,42.0,3.8,4.2,51.7,11.0,21.6,2.3,2.5,3.9,4.8,7.0,1.9,0.7,79.5,1.9,16.7
S01012659,4.8,4.2,2.3,2.3,3.0,58.5,24.3,15.9,0.8,0.3,20.8,73.0,1.6,2.5,37.1,18.4,6.8,4.4,3.2,2.5,3.9,4.1,0.6,1.4,86.9,0.5,1.6
S01012660,5.2,10.7,3.9,1.4,7.0,15.2,40.8,27.7,16.4,0.0,20.2,36.8,39.3,2.1,57.2,12.2,17.5,3.4,3.9,7.0,9.4,11.9,2.9,1.5,64.1,0.6,3.1
S01012661,4.2,8.9,2.4,0.9,5.3,35.0,12.3,38.9,9.9,1.2,33.3,46.6,6.8,11.1,49.8,11.9,14.9,3.1,2.2,4.1,9.1,7.1,1.7,0.3,70.7,0.3,2.2
S01012662,3.9,10.0,4.4,0.4,5.9,9.0,9.3,31.9,49.4,0.3,28.9,29.7,31.9,7.3,64.8,10.8,21.9,3.4,3.4,8.6,10.8,12.8,2.5,0.3,68.4,0.0,3.5
S01012663,3.1,14.1,2.5,1.3,4.3,26.0,29.5,36.2,6.1,1.3,49.8,38.9,1.3,8.3,52.4,12.1,24.8,3.3,2.0,3.5,7.5,8.7,1.8,0.3,77.7,1.0,3.3
S01012664,5.0,12.1,3.1,1.6,4.8,14.2,20.9,32.2,27.6,2.7,30.7,39.0,13.2,14.1,57.1,13.3,15.1,1.6,1.7,4.3,10.3,7.8,3.5,0.2,60.0,1.3,3.9
S01012665,6.3,8.0,7.9,0.4,5.7,8.8,25.3,61.4,4.4,0.0,18.2,27.5,46.8,4.3,71.2,12.7,19.4,1.5,6.3,12.1,17.9,14.9,3.2,1.2,54.3,2.9,51.7
S01012666,5.1,10.8,6.0,0.9,6.8,4.0,28.5,64.8,2.3,0.0,21.7,29.4,40.9,6.2,75.0,11.7,21.9,1.4,4.2,10.7,17.9,20.2,5.8,0.3,52.8,6.5,75.7
S01012667,5.0,10.5,5.9,0.9,7.6,17.7,45.6,7.8,28.6,0.0,25.1,20.8,49.8,2.9,72.8,12.6,16.6,4.5,3.4,11.2,20.7,11.7,3.5,0.7,55.2,0.4,7.2
S01012668,5.9,7.8,5.0,2.4,4.9,3.9,27.4,38.8,29.6,0.3,26.8,34.3,27.7,8.6,68.0,13.7,13.3,2.9,5.3,7.9,16.8,10.5,4.4,1.4,61.4,1.2,12.1
S01012669,4.6,15.1,2.1,1.7,4.0,16.8,57.6,24.2,1.3,0.0,48.0,49.0,1.0,0.7,43.9,10.2,23.7,3.9,1.8,3.3,4.6,6.3,0.7,0.3,83.8,0.7,2.4
S01012670,3.4,15.8,1.4,0.4,7.2,28.1,36.6,33.3,1.0,1.0,52.5,42.4,1.4,2.4,46.3,15.4,24.6,4.8,1.8,3.1,4.0,7.9,1.5,0.0,81.4,0.3,4.1
S01012671,6.2,7.0,4.1,0.0,5.2,13.0,11.8,71.8,3.2,0.0,26.5,39.7,28.6,4.4,71.3,16.6,14.0,3.6,2.5,8.9,10.5,14.2,1.9,0.8,63.9,0.5,2.6
S01012672,4.8,8.2,6.2,1.2,6.6,3.8,17.5,54.8,23.8,0.0,11.6,22.4,62.0,3.9,78.1,11.3,18.3,2.4,6.4,16.3,16.3,12.6,5.5,0.3,53.5,0.6,10.0
S01012673,6.6,5.3,8.9,0.5,6.9,4.7,19.4,72.9,3.1,0.0,14.3,25.8,50.8,6.7,73.8,14.9,15.8,2.9,5.3,10.5,17.5,21.8,3.4,0.4,65.9,0.8,1.2
S01012674,7.3,5.9,5.7,0.9,6.5,6.0,13.5,61.0,19.5,0.0,12.1,30.0,51.7,5.0,73.5,14.0,13.3,2.2,9.2,10.6,30.4,21.6,2.3,2.5,64.6,0.4,1.7
S01012675,6.1,7.4,5.4,2.0,6.5,9.2,18.2,58.9,13.2,0.5,13.9,31.9,47.1,6.6,73.2,10.8,16.4,1.8,5.0,9.6,17.4,15.8,4.1,0.3,55.4,0.6,8.6
S01012676,4.0,5.5,4.6,0.7,5.0,7.7,21.4,70.0,1.0,0.0,25.4,45.0,18.6,9.4,61.4,15.5,12.1,3.9,3.0,4.9,16.6,12.4,1.1,2.6,72.0,0.7,1.6
S01012677,6.4,6.9,3.4,0.5,7.7,8.6,14.6,64.0,12.7,0.0,23.0,31.2,35.9,6.6,69.1,14.8,18.5,3.9,3.2,8.7,17.8,15.6,2.1,2.0,59.0,0.8,21.5
S01012678,6.4,6.1,3.2,0.7,3.9,10.3,85.7,3.3,0.4,0.0,32.8,60.4,1.1,4.5,47.3,17.4,10.8,3.4,2.0,3.6,7.4,7.7,0.4,1.5,84.0,0.0,2.2
S01012679,2.9,11.4,2.7,2.3,5.6,34.9,23.4,13.0,27.5,1.3,23.7,38.2,33.9,3.5,57.5,14.6,21.5,2.5,2.0,6.1,7.9,12.2,2.9,0.5,61.3,2.4,31.5
S01012680,6.0,7.3,2.2,0.4,4.3,57.2,24.2,15.3,3.3,0.0,30.0,61.0,2.4,4.8,45.8,14.8,11.1,2.7,2.5,4.2,3.4,4.5,1.3,2.4,88.6,1.0,1.9
S01012681,5.7,6.7,3.3,0.7,5.1,30.0,15.4,33.8,16.6,1.5,39.5,38.3,7.1,11.9,53.9,11.2,15.8,5.8,3.1,3.9,12.5,8.5,2.4,1.3,72.3,2.9,5.5
S01012682,3.0,20.5,1.4,0.5,4.6,40.4,19.6,29.5,7.2,0.9,39.7,39.4,12.4,6.0,56.5,13.3,22.7,2.9,1.2,4.2,5.2,5.9,2.1,0.3,78.4,3.5,1.9
S01012683,4.4,4.6,4.5,0.3,5.2,12.3,10.2,49.7,27.8,0.0,25.2,36.8,31.6,4.6,58.8,17.4,10.0,3.9,4.0,7.9,19.4,10.7,1.8,1.2,76.4,0.9,1.2
S01012684,5.0,7.9,3.0,0.7,3.1,19.7,43.4,20.2,15.8,0.9,27.4,56.2,4.1,10.5,48.5,14.0,13.3,2.7,2.5,9.9,5.4,6.3,2.7,1.8,84.9,1.4,3.2
S01012685,6.4,6.4,4.9,0.5,6.3,9.8,23.5,61.6,4.5,0.6,20.1,45.5,31.1,2.7,59.9,13.8,11.9,3.5,4.0,7.6,15.4,11.1,2.4,1.8,63.5,0.0,5.4
S01012686,4.5,10.0,2.0,0.2,3.0,36.5,23.8,9.2,21.7,7.0,37.3,42.6,3.0,13.6,34.1,13.6,16.0,3.2,3.8,2.1,6.6,5.2,1.1,0.5,79.7,0.7,3.7
S01012687,4.9,23.0,0.9,0.0,4.3,76.3,21.2,1.7,0.8,0.0,65.1,33.2,0.4,1.3,28.3,12.2,34.4,3.1,3.1,2.1,1.0,7.1,1.9,2.1,94.0,0.9,0.4
S01012688,2.0,13.3,3.0,2.1,3.3,8.8,11.6,12.4,49.0,11.0,34.5,30.3,9.1,22.9,42.8,8.3,19.1,3.4,2.4,5.1,9.8,4.5,2.5,0.4,61.9,1.1,12.7
S01012689,3.5,8.1,2.9,0.8,3.5,60.0,32.4,3.8,2.7,1.1,45.4,43.8,4.9,4.3,30.4,15.9,18.7,5.6,5.0,1.7,3.6,5.2,1.9,4.3,88.6,1.1,1.1
