lsoa21,Efficiency band E-G,Efficiency band A-B,Fossil fuel dependency,Property built 1930-,Property built 2003+,CO2_EMISSIONS_CURRENT
E01019465,18.49,5.46,90.76,15.55,0,4.11
E01019467,27.76,6.94,85.49,39.75,3.47,5.53
E01019468,20.32,4.76,90.48,43.49,1.59,4.06
E01019469,10.54,3.51,92.97,17.25,5.11,3.58
E01019470,28.99,8.28,84.62,48.22,10.95,4.17
E01019471,16.49,5.32,88.03,36.44,2.13,3.76
E01019473,8.15,19.31,99.14,,20.6,3.85
E01019474,13.64,0,87.88,,0,3.45
E01019475,17.53,3.19,93.63,45.02,5.18,4.33
E01019476,17.23,14.23,95.51,7.87,13.11,4.53
E01019477,27.31,13.45,86.13,36.13,9.87,5.4
E01019478,16.29,25.89,90.18,14.06,21.88,3.95
E01019479,12.08,3.02,97.99,9.06,5.03,4.73
E01019480,18.78,17.96,80.11,27.62,3.59,4.1
E01019481,20.5,5.86,95.82,19.25,5.44,3.92
E01019482,22.57,17.01,85.07,25.35,3.82,4.01
E01019483,12.07,17.82,99.04,6.13,22.8,3.52
E01019484,20.97,32.28,87.33,37.56,22.02,4.1
E01019485,24.63,19.65,87.98,37.83,23.75,4.16
E01019486,4.67,26.17,99.53,3.74,29.44,3.39
E01019487,5.19,42.75,83.36,2.68,19.86,2.43
E01019488,14.37,3.44,89.07,74.09,6.68,3.45
E01019489,15.91,0,95.45,10.8,6.25,4.27
E01019490,6.82,0,99.43,11.36,0,3.77
E01019491,21.65,20.47,73.64,30.78,9.13,3.85
E01019492,10.22,9.68,96.51,14.78,9.41,3.33
E01019493,18.18,9.45,94.18,32.73,2.55,4.21
E01019495,14.52,4.95,93.07,10.56,2.97,4.11
E01019496,21.72,22.43,91.41,28.64,36.75,3.54
E01019497,14.26,30.05,80.48,31.41,20.37,3.3
E01019498,10.33,25.6,88.32,62.57,14.22,3.17
E01019499,31.21,6.69,87.9,48.09,7.64,4.35
E01019500,18.65,0,92.06,23.81,3.97,3.96
E01019501,25.52,10.68,89.61,27.89,5.93,4.19
E01019502,15.87,10.48,92.22,5.39,4.79,4.14
E01019503,12.71,21.74,84.11,18.39,6.69,3.55
E01019504,24.22,11.8,90.99,41.93,10.25,4.29
E01019505,14.62,10.18,86.68,31.33,18.02,4.02
E01019506,17.7,25.9,77.38,15.41,1.64,4.15
E01019507,24.45,8.27,78.68,34.56,10.11,3.74
E01019508,16.76,0,98.14,17.02,0,3.92
E01019509,4.12,23.87,77.37,0,9.05,2.61
E01019510,12.06,15.95,85.6,6.23,0,3.23
E01019511,24.66,5.68,93.93,49.32,14.87,4.16
E01019513,7.73,22.38,58.01,10.22,7.73,3.16
E01019514,20.12,6.51,91.42,33.14,5.03,3.84
E01019515,13.65,10.86,89.14,8.91,5.29,3.23
E01019516,16.78,20.86,85.26,36.28,20.86,3.54
E01019517,8.45,17.23,82.09,9.46,5.74,3.83
E01019518,5.85,23.92,79.9,0,8.14,3.35
E01019519,16.98,3.23,96.5,29.11,10.24,3.83
E01019520,18.03,17.07,77.88,16.35,18.27,4.31
E01019521,17.13,21.07,79.78,19.38,3.93,3.77
E01019522,14.63,27.49,69.4,28.38,5.76,3.37
E01019523,22.3,2.09,94.43,28.92,,4
E01019524,24.14,9.66,92.41,36.21,10.34,5.11
E01019525,15.27,12.1,94.81,14.41,15.85,3.74
E01019526,13.65,0,96.94,25.07,0,3.68
E01019527,9.19,3.67,92.13,29.66,1.84,3.61
E01019528,19.68,2.16,98.11,4.04,1.62,4.06
E01019529,20.47,2.05,90.94,49.42,3.8,3.81
E01019530,22.09,5.23,90.5,35.15,4.28,3.55
E01019531,13.35,10.99,91.1,27.49,6.54,3.67
E01019532,13.85,2.16,100,9.96,0,3.57
E01019533,16.95,15.59,97.63,2.71,15.25,3.96
E01019534,11.63,10.96,96.35,9.97,8.97,3.76
E01019535,10.11,14.8,95.31,13.36,6.14,3.65
E01019536,5.19,16.17,90.02,8.18,10.18,2.89
E01019537,13.33,27.27,72.42,10.91,0,4.03
E01019538,26.13,14.62,60.65,55.52,12.91,4.2
E01019539,21.11,0,94.12,26.64,3.46,4.78
E01019540,23.91,1.81,97.83,18.12,0,4.5
E01019541,7.73,16.02,92.27,0,11.05,3.15
E01019542,11.45,3.27,89.78,22.7,7.77,3.05
E01019543,4.87,40.71,74.04,0,16.96,2.56
E01019544,13.52,1.97,98.03,3.94,,3.4
E01019545,16.1,0,97.88,27.54,2.12,4.13
E01019546,18.77,0,96.17,32.95,6.13,3.89
E01019547,22.16,2.06,82.99,30.41,0,3.69
E01019548,16.27,3.11,95.69,32.06,19.86,4.03
E01019549,4.72,17.61,94.65,6.29,10.38,3.42
E01019550,9.38,2.43,96.18,,5.56,3.76
E01019551,8.59,3.91,98.83,,3.52,3.45
E01019552,10.98,2.03,95.93,4.07,,3.83
E01019553,13.91,2.66,98.22,14.2,18.93,3.64
E01019554,25.68,5.05,93.68,77.47,6.11,3.85
E01019555,18.27,5.29,96.39,28.12,3.37,3.58
E01019556,7.76,9.64,75.47,32.49,20.55,3.14
E01019557,7.41,15.61,85.19,0,1.59,3.63
E01019558,8.54,3.25,100,,,3.99
E01019559,7.89,0,100,,,4.25
E01019560,5.8,0,98.63,,0,3.39
E01019561,1.85,0,100,,,2.39
E01019562,6.98,7.27,99.42,2.62,6.1,3.11
E01019563,10.84,,98.8,2.65,5.3,3.53
E01019564,19.82,25.3,84.15,26.22,8.84,4.29
E01019565,7,1.75,95.92,28.57,5.25,3.2
E01019566,9.98,22.07,87.72,13.05,19.19,2.93
E01019567,9.28,10.1,86.19,10.52,14.02,3.45
E01019568,4.56,0,98.25,2.11,4.56,3.21
E01019569,13.29,6.53,77.25,47.97,13.96,3.29
E01019570,14.75,1.8,98.56,5.4,0,3.91
E01019571,5.71,1.63,96.2,7.07,3.8,3.06
E01019572,15.75,0,87.08,1.42,1.24,3.58
E01019573,14.29,17.19,90.8,30.27,16.22,3.49
E01019574,10.61,2.25,96.78,14.15,2.57,3.27
E01019575,5.41,0,95.33,23.1,2.7,3.13
E01019576,6.21,14.7,85.92,3.31,2.28,3.08
E01019577,10.41,4.9,98.16,9.59,6.12,3.53
E01019578,2.35,2.14,99.15,2.99,,2.39
E01019579,14.07,31.42,86.07,38.39,33.47,3.21
E01019580,7.19,27.89,71.46,11.33,,2.88
E01019581,20.35,6.69,85.17,7.56,7.27,3.41
E01019582,8.92,15.92,86.62,22.29,3.5,3.79
E01019583,7.97,6.88,93.12,20.29,2.54,3.64
E01019585,10.96,10.09,72.17,12.7,28.35,3.68
E01019586,19.25,0,98.33,7.11,0,4.38
E01019587,14.14,3.45,91.38,8.97,,4.03
E01019588,10.55,3.8,99.16,,,4.73
E01019589,10.82,30.7,99.42,0,29.82,3.44
E01019590,18.79,4.62,95.95,9.25,4.62,4.51
